Index Title,Top Level Index Category,Total Number of Links to Index,Word Count of Primary Version,Number of Links / Number of Words,Number of distinct texts linked to this text,Number of top-level Categories linked,Number of distinct texts linked from Tanakh,Total number of links from Tanakh,Number of distinct texts linked from Mishnah,Total number of links from Mishnah,Number of distinct texts linked from Talmud,Total number of links from Talmud,Number of distinct texts linked from Midrash,Total number of links from Midrash,Number of distinct texts linked from Halakhah,Total number of links from Halakhah,Number of distinct texts linked from Kabbalah,Total number of links from Kabbalah,Number of distinct texts linked from Liturgy,Total number of links from Liturgy,Number of distinct texts linked from Jewish Thought,Total number of links from Jewish Thought,Number of distinct texts linked from Tosefta,Total number of links from Tosefta,Number of distinct texts linked from Chasidut,Total number of links from Chasidut,Number of distinct texts linked from Musar,Total number of links from Musar,Number of distinct texts linked from Responsa,Total number of links from Responsa,Number of distinct texts linked from Second Temple,Total number of links from Second Temple,Number of distinct texts linked from Reference,Total number of links from Reference
Targum Jonathan on Haggai,Tanakh,51,633,0.08056872037914692,2,2,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
Targum Jonathan on Zechariah,Tanakh,295,3662,0.08055707263790278,3,3,1,211,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83
Targum Jonathan on Malachi,Tanakh,85,1048,0.08110687022900763,3,3,1,55,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29
Targum Neofiti,Tanakh,9,137,0.06569343065693431,1,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashi on Genesis,Tanakh,10939,41640,0.2627041306436119,153,12,66,9488,7,16,35,466,15,810,6,6,1,1,3,3,2,3,1,3,13,31,2,18,0,0,0,0,2,75
Rashi on Exodus,Tanakh,8399,43106,0.1948452651603025,136,11,56,7370,11,19,37,632,14,212,5,9,0,0,1,1,1,1,2,4,6,14,1,7,0,0,0,0,2,93
Rashi on Leviticus,Tanakh,7127,26188,0.2721475484954941,122,9,42,5532,12,32,44,886,10,577,4,9,0,0,0,0,0,0,2,2,5,5,1,1,0,0,0,0,2,54
Rashi on Numbers,Tanakh,6597,28398,0.23230509190788085,125,12,55,5487,5,16,40,505,9,513,3,4,1,1,1,1,0,0,3,7,4,4,1,3,1,1,0,0,2,31
Rashi on Deuteronomy,Tanakh,6678,27163,0.24584913301181754,123,9,57,5323,10,28,35,645,13,614,2,2,0,0,0,0,2,2,0,0,1,1,1,1,0,0,0,0,2,36
Rashi on Joshua,Tanakh,518,6672,0.0776378896882494,36,4,22,485,0,0,12,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
