Megillah		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	Comments					
daf.line	EM #	Book	chapter.halacha	Volume	mitzvah	Volume	siman.seif	Volume	siman.seif											
5a.23		מגילה וחנוכה	1.8						0	http://www.sefaria.org/Megillah.5a.23	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.8					Megillah.5a.23	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.8			
5a.31		קידוש החודש	1.2						0	http://www.sefaria.org/Megillah.5a.31	sefaria.org/Mishneh_Torah,_Sanctification_of_the_New_Month.1.2					Megillah.5a.31	Mishneh_Torah,_Sanctification_of_the_New_Month.1.2			
5a.33		קידוש החודש	8.1						0	http://www.sefaria.org/Megillah.5a.33	sefaria.org/Mishneh_Torah,_Sanctification_of_the_New_Month.8.1					Megillah.5a.33	Mishneh_Torah,_Sanctification_of_the_New_Month.8.1			
5a.35		תעניות	5.5	עשין דרבנן ב	2	א"ח	550.3	א"ח	550	http://www.sefaria.org/Megillah.5a.35	sefaria.org/Mishneh_Torah,_Fasts.5.5	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Mourning.2	sefaria.org/Shulchan_Arukh,_Orach_Chayim.550.3	sefaria.org/Tur,_Orach_Chaim.550		Megillah.5a.35	Mishneh_Torah,_Fasts.5.5	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Mourning.2	Shulchan_Arukh,_Orach_Chayim.550.3	Tur,_Orach_Chaim.550
5a.35						א"ח	552.10	א"ח	552	http://www.sefaria.org/Megillah.5a.35			sefaria.org/Shulchan_Arukh,_Orach_Chayim.552.10	sefaria.org/Tur,_Orach_Chaim.552		Megillah.5a.35			Shulchan_Arukh,_Orach_Chayim.552.10	Tur,_Orach_Chaim.552
5a.35		חגיגה	1.8						0	http://www.sefaria.org/Megillah.5a.35	sefaria.org/Mishneh_Torah,_Festival_Offering.1.8					Megillah.5a.35	Mishneh_Torah,_Festival_Offering.1.8			
5a.35		חגיגה	3.7						0	http://www.sefaria.org/Megillah.5a.35	sefaria.org/Mishneh_Torah,_Festival_Offering.3.7					Megillah.5a.35	Mishneh_Torah,_Festival_Offering.3.7			
5a.44		חגיגה	1.8						0	http://www.sefaria.org/Megillah.5a.44	sefaria.org/Mishneh_Torah,_Festival_Offering.1.8					Megillah.5a.44	Mishneh_Torah,_Festival_Offering.1.8			
5a.44		חגיגה	1.9						0	http://www.sefaria.org/Megillah.5a.44	sefaria.org/Mishneh_Torah,_Festival_Offering.1.9					Megillah.5a.44	Mishneh_Torah,_Festival_Offering.1.9			
5a.48		חגיגה	1.4						0	http://www.sefaria.org/Megillah.5a.48	sefaria.org/Mishneh_Torah,_Festival_Offering.1.4					Megillah.5a.48	Mishneh_Torah,_Festival_Offering.1.4			
5a.49		חגיגה	1.6						0	http://www.sefaria.org/Megillah.5a.49	sefaria.org/Mishneh_Torah,_Festival_Offering.1.6					Megillah.5a.49	Mishneh_Torah,_Festival_Offering.1.6			
5a.51		חגיגה	1.7						0	http://www.sefaria.org/Megillah.5a.51	sefaria.org/Mishneh_Torah,_Festival_Offering.1.7					Megillah.5a.51	Mishneh_Torah,_Festival_Offering.1.7			
5b.10		מגילה וחנוכה	2.13	עשין דרבנן ד	1	א"ח	696.3	א"ח	696	http://www.sefaria.org/Megillah.5b.10	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.13	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	sefaria.org/Shulchan_Arukh,_Orach_Chayim.696.3	sefaria.org/Tur,_Orach_Chaim.696		Megillah.5b.10	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.13	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	Shulchan_Arukh,_Orach_Chayim.696.3	Tur,_Orach_Chaim.696
5b.10		מגילה וחנוכה	2.13			א"ח	695.2	א"ח	695	http://www.sefaria.org/Megillah.5b.10	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.13		sefaria.org/Shulchan_Arukh,_Orach_Chayim.695.2	sefaria.org/Tur,_Orach_Chaim.695		Megillah.5b.10	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.13		Shulchan_Arukh,_Orach_Chayim.695.2	Tur,_Orach_Chaim.695
5b.22		מגילה וחנוכה	2.13	עשין דרבנן ד	1	א"ח	696.3	א"ח	696	http://www.sefaria.org/Megillah.5b.22	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.13	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	sefaria.org/Shulchan_Arukh,_Orach_Chayim.696.3	sefaria.org/Tur,_Orach_Chaim.696		Megillah.5b.22	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.13	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	Shulchan_Arukh,_Orach_Chayim.696.3	Tur,_Orach_Chaim.696
5b.23						א"ח	696.2	א"ח	696	http://www.sefaria.org/Megillah.5b.23			sefaria.org/Shulchan_Arukh,_Orach_Chayim.696.2	sefaria.org/Tur,_Orach_Chaim.696		Megillah.5b.23			Shulchan_Arukh,_Orach_Chayim.696.2	Tur,_Orach_Chaim.696
5b.28		מגילה וחנוכה	2.14			א"ח	696.1	א"ח	696	http://www.sefaria.org/Megillah.5b.28	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.14		sefaria.org/Shulchan_Arukh,_Orach_Chayim.696.1	sefaria.org/Tur,_Orach_Chaim.696		Megillah.5b.28	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.14		Shulchan_Arukh,_Orach_Chayim.696.1	Tur,_Orach_Chaim.696
5b.31		מגילה וחנוכה	2.14			א"ח	696.1	א"ח	696	http://www.sefaria.org/Megillah.5b.31	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.14		sefaria.org/Shulchan_Arukh,_Orach_Chayim.696.1	sefaria.org/Tur,_Orach_Chaim.696		Megillah.5b.31	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.14		Shulchan_Arukh,_Orach_Chayim.696.1	Tur,_Orach_Chaim.696
5b.33		מגילה וחנוכה	2.14			א"ח	696.1	א"ח	696	http://www.sefaria.org/Megillah.5b.33	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.14		sefaria.org/Shulchan_Arukh,_Orach_Chayim.696.1	sefaria.org/Tur,_Orach_Chaim.696		Megillah.5b.33	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.14		Shulchan_Arukh,_Orach_Chayim.696.1	Tur,_Orach_Chaim.696
