Im_Id,Im_Ms,Im_ImRun,Im_File,Im_Web,Im_Title,SSMA_TimeStamp,PID,Im_Description
16908,1721,420,..\MnuImages\N1721a\w\0209v.jpg,0,"עירובין כה ע""א - עירובין כה ע""ב",000000000000E5ED,871925,
16909,1721,421,..\MnuImages\N1721a\w\0210r.jpg,0,"עירובין כה ע""ב - עירובין כה ע""ג",000000000000E5EE,871927,
16910,1721,422,..\MnuImages\N1721a\w\0210v.jpg,0,"עירובין כה ע""ג - עירובין כה ע""ג",000000000000E5EF,871928,
16911,1721,423,..\MnuImages\N1721a\w\0211r.jpg,0,"עירובין כה ע""ג - עירובין כו ע""א",000000000000E5F0,871930,
16912,1721,424,..\MnuImages\N1721a\w\0211v.jpg,0,"עירובין כו ע""א - עירובין כו ע""א",000000000000E5F1,871932,
16913,1721,425,..\MnuImages\N1721a\w\0212r.jpg,0,"עירובין כו ע""א - עירובין כו ע""ב",000000000000E5F2,871933,
16914,1721,426,..\MnuImages\N1721a\w\0212v.jpg,0,"עירובין כו ע""ב - עירובין כו ע""ג",000000000000E5F3,871935,
16915,1721,427,..\MnuImages\N1721a\w\0213r.jpg,0,"עירובין כו ע""ג - עירובין כו ע""ד",000000000000E5F4,871936,
16916,1721,428,..\MnuImages\N1721a\w\0213v.jpg,0,"עירובין כו ע""ד - עירובין כו ע""ד",000000000000E5F5,871938,
16917,1721,429,..\MnuImages\N1721a\w\0214r.jpg,0,"פסחים כז ע""א - פסחים כז ע""ב",000000000000E5F6,871940,
16918,1721,430,..\MnuImages\N1721a\w\0214v.jpg,0,"פסחים כז ע""ב - פסחים כז ע""ב",000000000000E5F7,871941,
16919,1721,431,..\MnuImages\N1721a\w\0215r.jpg,0,"פסחים כז ע""ב - פסחים כז ע""ג",000000000000E5F8,871942,
