אתונה,"(37.972819149999985, 23.723743849999998)",9944. תוקידידס המלחמה הפלופונסית 4.65
אתונה,"(37.972819149999985, 23.723743849999998)",9943. תוקידידס המלחמה הפלופונסית 4.47
אתונה,"(37.972819149999985, 23.723743849999998)",9942. תוקידידס המלחמה הפלופונסית 4.69
אתונה,"(37.972819149999985, 23.723743849999998)",9941. תוקידידס המלחמה הפלופונסית 4.46
אתונה,"(37.972819149999985, 23.723743849999998)",9940. תוקידידס המלחמה הפלופונסית 4.41
אתונה,"(37.972819149999985, 23.723743849999998)",9939. תוקידידס המלחמה הפלופונסית 4.39
אתונה,"(37.972819149999985, 23.723743849999998)",9938. תוקידידס המלחמה הפלופונסית 4.38
אתונה,"(37.972819149999985, 23.723743849999998)",9937. תוקידידס המלחמה הפלופונסית 4.37
אתונה,"(37.972819149999985, 23.723743849999998)",9936. תוקידידס המלחמה הפלופונסית 4.28
אתונה,"(37.972819149999985, 23.723743849999998)",9935. תוקידידס המלחמה הפלופונסית 4.27
אתונה,"(37.972819149999985, 23.723743849999998)",9934. תוקידידס המלחמה הפלופונסית 4.22
אתונה,"(37.972819149999985, 23.723743849999998)",9933. תוקידידס המלחמה הפלופונסית 4.23
אתונה,"(37.972819149999985, 23.723743849999998)",9932. תוקידידס המלחמה הפלופונסית 4.16
אתונה,"(37.972819149999985, 23.723743849999998)",9931. תוקידידס המלחמה הפלופונסית 4.15
אתונה,"(37.972819149999985, 23.723743849999998)",9930. תוקידידס המלחמה הפלופונסית 4.7
אתונה,"(37.972819149999985, 23.723743849999998)",9929. תוקידידס המלחמה הפלופונסית 4.5
אתונה,"(37.972819149999985, 23.723743849999998)",9928. תוקידידס המלחמה הפלופונסית 3.115
אתונה,"(37.972819149999985, 23.723743849999998)",9927. תוקידידס המלחמה הפלופונסית 3.114
אתונה,"(37.972819149999985, 23.723743849999998)",9926. תוקידידס המלחמה הפלופונסית 3.101
אתונה,"(37.972819149999985, 23.723743849999998)",9925. תוקידידס המלחמה הפלופונסית 3.93
אתונה,"(37.972819149999985, 23.723743849999998)",9924. תוקידידס המלחמה הפלופונסית 3.87
אתונה,"(37.972819149999985, 23.723743849999998)",9923. תוקידידס המלחמה הפלופונסית 3.86
אתונה,"(37.972819149999985, 23.723743849999998)",9922. תוקידידס המלחמה הפלופונסית 3.75
אתונה,"(37.972819149999985, 23.723743849999998)",9921. תוקידידס המלחמה הפלופונסית 3.69
אתונה,"(37.972819149999985, 23.723743849999998)",9920. תוקידידס המלחמה הפלופונסית 3.56
אתונה,"(37.972819149999985, 23.723743849999998)",9919. תוקידידס המלחמה הפלופונסית 2.11
אתונה,"(37.972819149999985, 23.723743849999998)",9918. תוקידידס המלחמה הפלופונסית 2.20
אתונה,"(37.972819149999985, 23.723743849999998)",9917. תוקידידס המלחמה הפלופונסית 3.44
אתונה,"(37.972819149999985, 23.723743849999998)",9916. תוקידידס המלחמה הפלופונסית 3.34
אתונה,"(37.972819149999985, 23.723743849999998)",9915. תוקידידס המלחמה הפלופונסית 3.21
אתונה,"(37.972819149999985, 23.723743849999998)",9914. תוקידידס המלחמה הפלופונסית 3.17
אתונה,"(37.972819149999985, 23.723743849999998)",9913. תוקידידס המלחמה הפלופונסית 3.20
אתונה,"(37.972819149999985, 23.723743849999998)",9912. תוקידידס המלחמה הפלופונסית 3.11
אתונה,"(37.972819149999985, 23.723743849999998)",9911. תוקידידס המלחמה הפלופונסית 3.10
