מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,רשימה,הערות
02190,"ב""ק ו, ז (ה ע""ג, 34)",כהדא חד,,,"שבו' לז ע""ד",,,
02200,"ב""ק ו, ח (ה ע""ג, 48)",רבי יודן,,"ת' ב""ק ו, כח 6:357)",,,,
02210,"ב""ק ו, ח (ה ע""ג, 49)",כגון אילו,,,"סוכה נג ע""ג (27)",,,
02220,"ב""ק ז, א (ה ע""ד, 32)",אין לי,,"הש' מדרשב""י 195",,,,
02230,"ב""ק ז, א (ה ע""ד, 32)",שור,"שמות כב, ג",,,,,
02240,"ב""ק ז, א (ה ע""ד, 33)",חיים,"שמות כב, ג",,,,,
02250,"ב""ק ז, א (ה ע""ד, 34)",הגניבה,"שמות כב, ג",,,,,
02260,"ב""ק ז, א (ה ע""ד, 38)",וגונב מבית,"שמות כב, ו",,,,,
02270,"ב""ק ז, ב (ה ע""ד, 45)",ולא כן,,,"ב""ק ו ע""א (2); תר' מד ע""א; תר' מד ע""ג; שבת יג ע""ב; כת' כז ע""ב; שבו' לד ע""ב",,,
02280,"ב""ק ז, ב (ה ע""ד, 46)",רבי בון,,,"תר' מד ע""ג; כת' כז ע""ב",,,
02290,"ב""ק ז, ב (ה ע""ד, 47)",שני דברים,,,"מכות לא ע""א",,,
02300,"ב""ק ז, ד (ה ע""ד, 56)",רבי זעירא,,,"ב""ב יד ע""א",,,
02320,"ב""ק ז, ד (ה ע""ד, 57)",רבי יוסי,,"הש' ת' מכות ה, יד (1:445)",,,,
02330,"ב""ק ז, ה (ו ע""א, 2)",לא כן,,,"ב""ק ז, ב (ה ע""ד, 45); תר' מד ע""א; תר' מד ע""ג; שבת יג ע""ב; כת' כז ע""ב; שבו' לד ע""ב",,,
02340,"ב""ק ז, ה (ו ע""א, 7)",גנב והקדיש,,"מ' ב""ק ז, ה",,,,
02350,"ב""ק ז, ז (ו ע""א, 17)",מכרה חוץ,,"ת' ב""ק ז, יח (4:360)",,,,
02360,"ב""ק ז, י (ו ע""א, 24)",רבי בא,,,"פס' ל ע""ד; ע""ז לט ע""ד; ק""ר א, יג (ה ע""ד)",,ז,
02370,"ב""ק ז, י (ו ע""א, 25)",אין מגדלין,,,"חג' עט ע""ד",,,
02380,"ב""ק ז, י (ו ע""א, 27)",כתיב,,,"שבי' לז ע""ג",,,
02390,"ב""ק ז, י (ו ע""א, 27)",טמאים הם,"ויקרא יא, ח",,,,,
02400,"ב""ק ז, י (ו ע""א, 28)",וטמאים יהיו,"ויקרא יא, לה",,,,,
02410,"ב""ק ז, י (ו ע""א, 33)",נ' אמה,,"הש' מ' ב""ב ב, ה",,,,
02420,"ב""ק ח, ה (ו ע""ב, 58)",והעדים שאמרו,,,"גט' מה ע""ד",,,
02440,"ב""ק ח, ה (ו ע""ב, 61)",רבי לא,,,"כת' ל ע""א",,,
02450,"ב""ק ח, ה (ו ע""ג, 2)",רבי יוחנן,,,"דמ' כא ע""ד (49)",,,
02460,"ב""ק ח, ח (ו ע""ג, 15)",המבייש את,,,"הש' שבו' לז ע""ב (19)",,,
02470,"ב""ק ח, ח (ו ע""ג, 15)",רבי אבהו,,,"שבו' לה ע""ד",,,
02480,"ב""ק ח, י (ו ע""ג, 19)",רבי יודה,,"ת' ב""ק ט, ל (6:366)",,,,
02490,"ב""ק ח, י (ו ע""ג, 19)",ונתן לך,"דברים יג, יח",,,,,
02500,"ב""ק ח, י (ו ע""ג, 21)",רב אמר,,,"יומא מה ע""ג",,,
02510,"ב""ק ח, י (ו ע""ג, 22)",ישור על,"איוב לג, כז",,,,,
02520,"ב""ק ט, א (ו ע""ד, 26)",גזל מריש,,"ת' ב""ק י, ה (3:367)","גט' מז ע""א",,,
02530,"ב""ק ט, א (ו ע""ד, 27)",ירד לחרבה,,"ת' ב""ק י, ז (7:367)",,,,
02540,"ב""ק ט, ג (ו ע""ד, 48)",רבי יודן,,,"גט' מז ע""א",,,
