Ma_ID,Ma_Runorder,Ma_Name,Ma_LibID,SSMA_TimeStamp,Ma_Img,Ma_ImgFile,Ma_NameDescription,Ma_Description,Ma_SysNum
5267,2049,T-S E1.52,2,000000000000EE86,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.52",,000140589
5268,2050,T-S E1.53,2,000000000000EE87,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.53",,000140589
5269,2051,T-S E1.54,2,000000000000EE88,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.54",,000140589
5270,2052,T-S E1.55,2,000000000000EE89,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.55",,000140589
5271,2053,T-S E1.56,2,000000000000EE8A,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.56",,000140589
5272,2054,T-S E1.57,2,000000000000EE8B,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.57",,000140589
5299,2055,T-S E1.88,2,000000000000EE8C,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.88",,000140589
5300,2056,T-S E1.89,2,000000000000EE8D,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.89",,000140589
5301,2057,T-S E1.90,2,000000000000EE8E,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.90",,000140589
5302,2058,T-S E1.91,2,000000000000EE8F,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.91",,000140589
5303,2059,T-S E1.92-94,2,000000000000EE90,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.92-94",,000140589
5304,2060,T-S E1.95,2,000000000000EE91,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.95",,000140589
5305,2061,T-S E1.96,2,000000000000EE92,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.96",,000140589
5306,2062,T-S E1.97,2,000000000000EE93,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.97",,000140589
5307,2063,T-S E1.98,2,000000000000EE94,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.98",,000140589
5308,2064,T-S E1.99,2,000000000000EE95,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.99",,000140589
5309,2065,T-S E1.100,2,000000000000EE96,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.100",,000140589
5310,2066,T-S E1.101,2,000000000000EE97,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.101",,000140589
5311,2067,T-S E1.102,2,000000000000EE98,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.102",,000140589
5312,2068,T-S E1.103,2,000000000000EE99,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.103",,000140589
5313,2069,T-S E1.104,2,000000000000EE9A,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224334,"קטע גניזה, קיימברידג' T-S E1.104",,000140589
