headword,error
אֵימָתַי,
אֵימְתָן,
אִין,
אִינָא,
אֵינָב,
אִינְגַד,
אינגורין,
אינגלין,
אינגרא,
אִינְדרוֹנָא,
אִינְדַרְטִין,
אינְהוּ,
אִינוּנִיתָא,
אִינַחְתָּא,
"אֵינִי,",
אִינִיבָא,
אִינְייָא,
אִינִין,
אִינָךְ,
אִינְמֵרְנוֹן,
אינפולי,
אִינְקָא,
אִינְקוֹרֵי,
"אִינָשׁ, אִינְשָׁא",
"איסגנטירין, איסגנטרין",
אִיסָדֵי,
"אִיסָה,",
אִיסוּר,
אִיסוּרָא,
אִיסְטְבָה,
אִיסְטַגְיָה,
איסטדימוטא,
אִיסְטַהַר,
"אְיסְטְוָוא, אִיסְטְווָה, אִיסְטְווָנִית",
איסטוטי,
אִיסְטוֹלִי,
אסטופיטא,
איסטורין,*
"אִיסְטַטְיוֹן, אִיסְטַטְיוֹנָרוֹן",
אִיסְטַטְנִי,
אִיסְטֵיב,
אִיסְטֵיו,
איסטיטי,
אִיסְטְיָיה,
אִיסְטֵירְטֵיגוֹס,
אִיסְטְמָא,
אִיסְטְמָאִי,
איסטנינותיא,
"אִיסְטְנִיס, אִיסְטְנֵס",
אִיסְטַסִי,
אִיסְטְסָנִי,
אִיסְטַפְנִינִי,
אִיסְטְרָאטֵיגָא,
אִיסְטְרוֹבִיל,
אִיסְטְרוּבִילוֹס,
אִיסְטְרוֹלוֹגוֹס,
אִיסְטְרוֹלוֹגְיָא,
אִיסְטְרוֹפוֹמִיטָא,
"אִיסְטְרַט, אִיסְטרַטָט",
אִיסְטְרָטִי,
אִיסְטְרָטֵיגוֹן,
"איסטרטיה, אִ סְטְרָטִיוֹט, אִיסְטְרָטִיוֹס, איסטרטיות",
"אִיסְטְרָטִיל, אִיסְטְרָטִילוֹס, אִיסְטְרָטִיקוֹל, אִיסְטְרָטְלִיטוֹס",
איסטרטין,
איסטריא,
איסטריבוליא,
אִיסְטְרִידָא,
איסטרין,
אִיסְטַרְכִין,
אִיסִי,
"איסיא, איסייא",
איסיפקא,
אִיסְכּוֹלִי,
אִיסְכוֹלַסְטִיקָא,
אִיסְכּוּפְיָה,
אִיסְכְּלָא,
איסכלוסקוקי,
אֵיסֶל,
איסמטא [אִיסְרַטָא],
איסניא,
איספו נרמז,
אִיסְפּוּן,
איספוסין,
אִיסְפַּטִי,
איספטלי [אִיסוֹפוֹלִיטְיָא],
איספטר,
איספיסריאן [אִסְפַּתָּרִיאָן],
אִיסְפֵירָס,
אִיסְפְּלִידָא,
אִיסְפְּלִיטוֹן,
אִיסְפְּלָנִית,
אִיסְפְּקָא,
אִיסְפַּקְלָטוֹר,
אְיסְפַּקְלָרִיָא,
איספקסיטון,
איספקרפסטי,
אִיספַּרְגּוֹס,
אִיסְפַּרְגַּל,
איספרנמין,
אִיסָק,
איסקבטיריי,
אִיסְקוֹזוּת,
"איסקומדרי, אִיסְקוּנְדְרֵי",
איסקופה,
אִיסְקוּפִי,
"אִיסְקוּפְסִי, איסקופת, אִיסְקֵפַּטִי",
אִיסְקוֹרְטִי,
אִיסְקָרִיָא,
"אִיסְקְרִיטָא, אִיסְקְרִיטוֹן",
אִיסְקְרִיטוֹר,
איסקרנדה [אִיסְקְרִינָרָא],
אִיסָר,
אִיסְרָא,
"אִיסְרָא, אִיסְרָה",
"אִיסְירַטָא, אִיסְרַטָה",*
איסרטיוט,
