Ref 1,Ref 2,Found a Better Match?,New Match Ref 1,New Match Ref 2
Tosafot on Bekhorot 31a:43:1,Eruvin 63a:5,disambiguator found a better match,Tosafot on Bekhorot 31a:12:1,Eruvin 63a:5
Tosafot on Bekhorot 26a:48:1,Zevachim 86a:9,disambiguator found a better match,Tosafot on Bekhorot 26a:14:1,Zevachim 86a:9
Tosafot on Bekhorot 26a:48:1,Chullin 135a:1,disambiguator found a better match,Tosafot on Bekhorot 26a:14:1,Chullin 135a:1
Tosafot on Bekhorot 26a:48:1,Rosh Hashanah 28a:9,disambiguator found a better match,Tosafot on Bekhorot 26a:14:1,Rosh Hashanah 28a:9
Rashi on Meilah 15a:14:1,Pesachim 29a:13,disambiguator found a better match,Rashi on Meilah 15a:8:1,Pesachim 29a:13
Tosafot on Niddah 71b:3:1,Yevamot 81b:4,disambiguator found a better match,Tosafot on Niddah 71b:1:1,Yevamot 81b:4
Tosafot on Niddah 71b:3:1,Menachot 23a:15,disambiguator found a better match,Tosafot on Niddah 71b:1:1,Menachot 23a:15
Tosafot on Niddah 71b:3:1,Zevachim 79b:2,disambiguator found a better match,Tosafot on Niddah 71b:1:1,Zevachim 79b:2
Mefaresh on Tamid 29a:10:1,Yoma 45a:7,disambiguator found a better match,Mefaresh on Tamid 29a:4:2,Yoma 45a:7
Tosafot on Arakhin 17b:44:1,Sanhedrin 27b:12,disambiguator found a better match,Tosafot on Arakhin 17b:17:1,Sanhedrin 27b:12
Netzach Yisrael 21:12,Yoma 15b:4,disambiguator found a better match,Netzach Yisrael 21:11,Yoma 15b:4
Likutei Moharan 113:2,Berakhot 5b:10,disambiguator found no match
Tosafot on Bekhorot 38b:14:1,Eruvin 103a:6,disambiguator found a better match,Tosafot on Bekhorot 38b:3:1,Eruvin 103a:6
Tosafot on Bekhorot 38b:14:1,Shabbat 78a:5,disambiguator found a better match,Tosafot on Bekhorot 38b:3:1,Shabbat 78a:5
Tosafot on Bekhorot 38b:14:1,Bava Kamma 80b:10,disambiguator found a better match,Tosafot on Bekhorot 38b:3:1,Bava Kamma 80b:10
Tosafot on Niddah 42b:47:1,Chullin 71a:18,disambiguator found a better match,Tosafot on Niddah 42b:19:1,Chullin 71a:18
Tosafot on Keritot 17b:31:1,Yevamot 88a:12,disambiguator found a better match,Tosafot on Keritot 17b:12:1,Yevamot 88a:12
Rashi on Bekhorot 40a:36:1,Chullin 54b:3,disambiguator found a better match,Rashi on Bekhorot 40a:11:1,Chullin 54b:3
Tosafot on Meilah 12a:14:1,Zevachim 112b:3,disambiguator found a better match,Tosafot on Meilah 12a:7:1,Zevachim 112b:3
Tosafot on Bekhorot 11b:23:1,Eruvin 37b:13,disambiguator found a better match,Tosafot on Bekhorot 11b:9:1,Eruvin 37b:13
Tosafot on Bekhorot 11b:23:1,Menachot 66b:15,disambiguator found a better match,Tosafot on Bekhorot 11b:9:1,Menachot 66b:15
Tosafot on Bekhorot 11b:23:1,Menachot 31a:6,disambiguator found a better match,Tosafot on Bekhorot 11b:3:2,Menachot 31a:6
Tosafot on Bekhorot 11b:23:1,Bava Metzia 88b:1,disambiguator found a better match,Tosafot on Bekhorot 11b:9:1,Bava Metzia 88b:1
Tosafot on Bekhorot 11b:23:1,Bava Metzia 101a:8,disambiguator found a better match,Tosafot on Bekhorot 11b:9:1,Bava Metzia 101a:8
Tosafot on Bekhorot 18a:34:1,Eruvin 28b:6,disambiguator found a better match,Tosafot on Bekhorot 18a:8:1,Eruvin 28b:6
Tosafot on Niddah 19a:40:1,Yevamot 110b:12,disambiguator found a better match,Tosafot on Niddah 19a:11:1,Yevamot 110b:12
Tosafot on Niddah 19a:40:1,Bava Metzia 86a:9,disambiguator found a better match,Tosafot on Niddah 19a:11:2,Bava Metzia 86a:9
Rashi on Meilah 19a:14:1,Sotah 24b:2,disambiguator found a better match,Rashi on Meilah 19a:6:1,Sotah 24b:2
Tosafot on Niddah 30b:35:1,Yevamot 42b:9,disambiguator found a better match,Tosafot on Niddah 30b:16:1,Yevamot 42b:9
Tosafot on Bekhorot 29a:37:1,Bava Batra 22b:7,disambiguator found a better match,Tosafot on Bekhorot 29a:13:1,Bava Batra 22b:7
Tosafot on Bekhorot 29a:37:1,Eruvin 30b:15,disambiguator found a better match,Tosafot on Bekhorot 29a:13:1,Eruvin 30b:15
Tosafot on Bekhorot 29a:37:1,Eruvin 47a:22,disambiguator found a better match,Tosafot on Bekhorot 29a:13:1,Eruvin 47a:22
Tosafot on Bekhorot 29a:37:1,Eruvin 82a:10,disambiguator found a better match,Tosafot on Bekhorot 29a:13:1,Eruvin 82a:10
Tosafot on Bekhorot 29a:37:1,Bava Metzia 21a:11,disambiguator found a better match,Tosafot on Bekhorot 29a:13:1,Bava Metzia 21a:11
Tosafot on Bekhorot 29a:37:1,Berakhot 19b:9,disambiguator found a better match,Tosafot on Bekhorot 29a:13:1,Berakhot 19b:9
Netzach Yisrael 41:6,Sanhedrin 98a:16,disambiguator found a better match,Netzach Yisrael 41:5,Sanhedrin 98a:16
Rashi on Keritot 21b:25:1,Bava Kamma 54b:6,disambiguator found a better match,Rashi on Keritot 21b:9:1,Bava Kamma 54b:6
Rashi on Keritot 27a:53:1,Temurah 21b:7,disambiguator found a better match,Rashi on Keritot 27a:19:1,Temurah 21b:7
Tosafot on Temurah 17b:8:1,Ketubot 83b:7,disambiguator found a better match,Tosafot on Temurah 17b:4:1,Ketubot 83b:7
Rashi on Temurah 25b:44:1,Bava Kamma 73b:5,disambiguator found a better match,Rashi on Temurah 25b:16:1,Bava Kamma 73b:5
