txt file line,Perek running counter,page running counter,Daf,Line,Rambam,Semag,Tur Shulchan Arukh,original,problem
85,פה,ה,14b,9,"[u'Mishneh Torah, Fasts 3:8']",,"[u'Tur, Orach Chaim 575', u'Shulchan Arukh, Orach Chayim 575:7']","פה ה ו מיי' שם הל' ח טוש""ע שם סעיף ז",
85,פה,ו,14b,10,"[u'Mishneh Torah, Fasts 3:8']",,"[u'Tur, Orach Chaim 575', u'Shulchan Arukh, Orach Chayim 575:7']","פה ה ו מיי' שם הל' ח טוש""ע שם סעיף ז",FALSE
86,פו,ז,14b,11,"[u'Mishneh Torah, Prayer and the Priestly Blessing 5:14']",,"[u'Tur, Orach Chaim 131', u'Shulchan Arukh, Orach Chayim 131:8']","פו ז מיי' פ""ה מהלכות תפלה הלכה יד טוש""ע א""ח סימן קלא סעיף ח",FALSE
87,א,א,15a,4,"[u'Mishneh Torah, Fasts 4:1', u'Mishneh Torah, Fasts 4:2', u'Mishneh Torah, Fasts 4:3']",,"[u'Tur, Orach Chaim 579', u'Shulchan Arukh, Orach Chayim 579:1']","א א מיי' פ""ד מהלכות תענית הלכה א ב ג טוש""ע א""ח סימן תקעט סעיף א",FALSE
88,ב,ב,15a,7,"[u'Mishneh Torah, Fasts 4:7']",,"[u'Tur, Orach Chaim 579']","ב ב מיי' שם ה""ז טור א""ח סימן תקעט",FALSE
89,ג,א,15b,2,"[u'Mishneh Torah, Fasts 4:17']",,"[u'Tur, Orach Chaim 579']","ג א מיי' פ""ד מהלכות תענית הלכה יז טור א""ח סימן תקעט",FALSE
90,ד,ב,15b,3,"[u'Mishneh Torah, Fasts 3:2']",,,"ד ב מיי' שם פ""ג ה""ב",FALSE
91,ה,ג,15b,3,"[u'Mishneh Torah, Fasts 3:3']",,,ה ג מיי' שם הלכה ג,FALSE
92,ו,ד,15b,4,"[u'Mishneh Torah, Fasts 3:6']",,,ו ד מיי' שם הלכה ו,FALSE
93,ז,ה,15b,5,"[u'Mishneh Torah, Admission into the Sanctuary 1:6']",,,"ז ה ו מיי' פ""א מהלכות ביאת מקדש הלכה ו",
93,ז,ו,15b,5,"[u'Mishneh Torah, Admission into the Sanctuary 1:6']",,,"ז ה ו מיי' פ""א מהלכות ביאת מקדש הלכה ו",FALSE
94,ח,ז,15b,5,"[u'Mishneh Torah, Admission into the Sanctuary 1:12']",,,ח ז מיי' שם הלכה יב,FALSE
95,ט,ח,15b,5,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 6:11']",,,"ט ח מיי' פ""ו מהלכות כלי המקדש הל' יא",FALSE
96,י,ט,15b,8,"[u'Mishneh Torah, Fasts 1:5']",,"[u'Tur, Orach Chaim 572', u'Shulchan Arukh, Orach Chayim 572:1']","י ט מיי' פ""א מהלכות תענית הלכה ה טוש""ע א""ח סי' תקעב סעי' א",FALSE
97,יא,י,15b,8,"[u'Mishneh Torah, Fasts 3:3', u'Mishneh Torah, Fasts 3:5']",,"[u'Tur, Orach Chaim 575', u'Shulchan Arukh, Orach Chayim 575:3', u'Shulchan Arukh, Orach Chayim 575:4']","יא י מיי' שם פ""ג הל' ג והל' ה טוש""ע שם סי' תקעה סעיף ג ד",FALSE
98,יב,כ,15b,9,"[u'Mishneh Torah, Fasts 1:7']",,"[u'Tur, Orach Chaim 572', u'Shulchan Arukh, Orach Chayim 572:2']","יב כ מיי' שם פ""א הל' ז טוש""ע שם סימן תקעב סעיף ב",FALSE
99,יג,ל,15b,11,"[u'Mishneh Torah, Fasts 4:1']",,"[u'Tur, Orach Chaim 579', u'Shulchan Arukh, Orach Chayim 579:1']","יג ל מיי' פ""ד שם הלכה א טוש""ע שם סימן תקעט סעיף א",FALSE
100,יד,א,16a,2,"[u'Mishneh Torah, Fasts 4:1']",,"[u'Tur, Orach Chaim 579', u'Shulchan Arukh, Orach Chayim 579:1']","יד א מיי' פ""ד מהלכות תענית הלכה א טוש""ע א""ח סימן תקעט סעיף א",FALSE
101,טו,ב,16a,7,"[u'Mishneh Torah, Fasts 4:17']",,"[u'Tur, Orach Chaim 579', u'Shulchan Arukh, Orach Chayim 579:3']","טו ב מיי' שם הלכה יז טוש""ע שם ס""ג",FALSE
102,טז,ג,16a,9,"[u'Mishneh Torah, Fasts 4:4']",,"[u'Tur, Orach Chaim 579', u'Shulchan Arukh, Orach Chayim 579:1']","טז ג מיי' שם הלכה ד טוש""ע שם ס""א",FALSE
103,יז,ד,16a,14,"[u'Mishneh Torah, Repentance 2:3']",,,"יז ד מיי' פ""ב מהל' תשובה הלכה ג",FALSE
104,יח,ה,16a,16,"[u'Mishneh Torah, Fasts 4:3']",,"[u'Tur, Orach Chaim 579', u'Shulchan Arukh, Orach Chayim 579:1', u'Shulchan Arukh, Orach Chayim 579:1', u'Tur, Orach Chaim 53', u'Shulchan Arukh, Orach Chayim 53:4']","יח ה מיי' פ""ד מהל' תענית הלכה ג טוש""ע א""ח סימן תקעט סעיף א וסימן נג סעיף ד",FALSE
