Notes,Name,Match Name 1 corrected,Match Name En,Match Name 1,Match Name 2,Match Name 3,Match Name 4,Match Name 5,Match Name 6,Match Name 7,Match Name 8,Match Name 9,Match Name 10,Match Name 11,Match Name 12,Match Name 13,Match Name 14,Match Name 15,Match URL 1,Match URL 2,Match URL 3,Match URL 4,Match URL 5,Match URL 6,Match URL 7,Match URL 8,Match URL 9,Match URL 10,Match URL 11,Match URL 12,Match URL 13,Match URL 14,Match URL 15
,יהודית,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,אבא תחנה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי אליעזר בנו של ר יוסי הגלילי,,Rabbi Eliezer b. Yose haGelili,רבי אליעזר בן יוסי הגלילי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Eliezer%20b.%20Yose%20haGelili,,,,,,,,,,,,,,
,נחום איש גמזו,,Nahum of Gamzo,נחום איש גמזו,,,,,,,,,,,,,,,https://www.sefaria.org/person/Nahum%20of%20Gamzo,,,,,,,,,,,,,,
,תודוס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי יהודה בן בתירא,,Rabbi Yehudah b. Betera,רבי יהודה בן בתירא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20Betera%20(I),,,,,,,,,,,,,,
,אספסינוס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שמאי,,Shammai,שמאי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Shammai,,,,,,,,,,,,,,
,אונקלוס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,מרים התרמודית,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי יהודה נשיאה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,כלבא שבוע,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,מרים בת נקדימון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,יששכר איש כפר ברקאי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ר יוחנן בן מתיא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ר יוסי הגלילי,,Rabbi Yose haGelili,רבי יוסי הגלילי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yose%20haGelili,,,,,,,,,,,,,,
,רבי יהודה בן טבאי,,Yehudah b. Tabbai,יהודה בן טבאי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Yehudah%20b.%20Tabbai,,,,,,,,,,,,,,
,יוסי בן יועזר,,Yose b. Yoezer,יוסי בן יועזר,,,,,,,,,,,,,,,https://www.sefaria.org/person/Yose%20b.%20Yoezer,,,,,,,,,,,,,,
