Topic,English description,Is A Type Of,Is a Type Of (2),Final Topic Name,Final English Translation,Final English Transliteration,Is Translation from External Source,According to:,Additional sources (please use link to Sefaria segment and list multiple sources separated by comma),,,Is Paren Good Description
עבודת ה,serving HaShem,theological process,,עבודת ה',The Service of the Lord,,,,,,,
עבור הריון,conception and pregnancy,lifecycle process,,הריון,Conception and Pregnancy,,,,,,,
עבור מעבור הארץ,last year's grain,food,,מעבור הארץ,The Previous Year's Crops,,,,,,,
עבור שנה,calculating leap year,halachic process,,עיבור השנה,The Intercalation of a Leap Year,,,,,,,
עבור,pass through/over/to,process,,עבור,Passing,,,,,,,
עבות,braid,inanimate object,,עבות,Braid,,,,,,,
עבטיט,thick with mud,quality,,עבטיט,Heavy Mud,,,,,,,
עבר בנו של שם,,biblical person,,עבר בן שם,"Eber, the Son of Shem",,YES,,,,,
עבר פאה,side,fiat object part,,עבר,A Side,,,,,,,
עבר הירדן,,geographic site,,עבר הירדן,The [Far] Side of the Jordan,Ever HaYarden,,,,,,
עברה,rage,emotion,,עברה,Rage,,,,,,,
עברי,,nation/ethnicity,,עברי,A Hebrew,,,,,,,
עגב,levity/desire,process,,עגב,Levity,,,,Ezekiel 33:31,,,
עגול ועדשים עגולים,round lentils,food,,עדשים עגולים,[Round] Lentils,,,,,,,
עגול,circle,object,,עגול,A Circle,,,,,,,
עגל חטא,sin of golden calf,biblical historical event,theology,חטא העגל,The Sin of the [Golden] Calf,,,,,,,
עגל,calf,mammal,,עגל,A Calf,,,,,,,
עגלה ערופה,calf for finding body,halachic role of inanimate object,,עגלה ערופה,A Beheaded Calf [after the Finding of a Dead Body],,,,,,,
עגלה שלישיה,choice calf,mammal,,עגלה שלישיה,A Choice Calf,,,Radak, Isaiah 15:5,,,
עגלה,wagon,inanimate object,,עגלה,A Wagon,,,,,,,
עגלון,,biblical person,,עגלון,,Eglon,YES,,,,,
עד,until/while,preposition,,עד,Until,,,,,,,
עדד,increase/uplift,process,,עדד,To Raise Up,,,Radak,Psalms 146:9,,,
עדה,group/populus,group of people,,עדה,A Community,,,,,,,
עדו,,biblical person,,עדו,,Iddo,,,,,,
עדות עדותיו,attestations; type of mitzvah,theology,,עדות,Commandments of Attestation,Edot,,,,,,
עדות עדים זוממים,conspiring witnesses,halachic role of person,,עדים זוממים,Conspiring Witnesses,,,,,,,
עדות,testimony,process,,עדות,Testimony,Edut,,,,,,
עדי,jewelry,inanimate object,,עדי,Jewelry,,,,,,,
עדינו,,biblical person,,עדינו,,Adino,,,,,,
עדן,Eden/pleasantness,spiritual site,quality,עדן,Eden or Pleasantness,,,,,,,
עדנה,youth/pleasure,quality,,עדנה,Pleasure,,,Ibn Ezra,Genesis 18:14,,,
עדשים,lentils,food,,עדשים,Lentils,,,,,,,
עובד אדום,,biblical person,,עובד אדום,,Obed Edom,YES,,,,,
עובד כוכבים,idolater,halachic role of person,,עובד כוכבים,An Idolater (A Term Often Used for Any Gentile),,,,,,,y
עובד,,biblical person,,עובד,,Obed,YES,,,,,
עובדיה,,biblical person,,עובדיה,,Obadiah,YES,,,,,
עובר,fetus,quality,,עובר,A Fetus,,,,,,,
עוג,,biblical person,,עוג,,Og,YES,,,,,
עוד,yet/more,preposition,,עוד,More,,,,,,,
עוה,become stupid/dysfunctional,process,,עוה,To Become Insane,,,,,,,
עוון,sin/wrongdoing,halachic process,,עוון,Iniquity,,,,,,,
עוור,blind,quality,,עוור,A Blind Person,,,,,,,
עוות,confuse,process,,עוות,To Cause to Stray,,,,,,,
עוז,brazenness,character trait,,עוז,Brazenness,,,,,,,
עוזא,,biblical person,,עוזא,,Uzzah,,,,,,
עוזיאל,,biblical person,,עוזיאל,,Uzziel,,,,,,
עוזיה,,biblical person,,עוזיה,,Uzziah,YES,,,,,
עוים,,nation/ethnicity,,עוים,,Avvim,,,,,,
עול,dishonesty,process,,עול,Deceit,,,,,,,
עולל,child,quality,,עולל,A Young Child,,,,,,,
עוללות,grapes for poor,halachic role of inanimate object,,עוללות,Bunchless Grapes (Left for the Poor),,,,,,,
עולם ועד,forever,phrase,,עולם ועד,Forever and Ever,,,,,,,
עולם מן העולם,forever,phrase,,מן העולם,From the [Beginning of the] World,,,,,,,
עולם הבא,the world or era to come,theology,,עולם הבא,The World to Come,Olam Haba,,,,,,
עולם הזה,this world or era,theology,,עולם הזה,This World ,Olam Hazeh,,,,,,
עולם,world/universe/era,span of time,object,עולם,A (or the) World ,,,,,,,
עומר ספירת,counting the omer,halachic process,,ספירת העומר,The Counting of the Omer Barley Offering,Sefirat Haomer,,,,,,
עומר,type of measure,inanimate object,,עומר,A Type of Dry Measure,Omer,,,,,,
עון,sin/wrongdoing,halachic process,,עון,Iniquity,,,,,,,
עונג,enjoyment,process,,עונג,Delight,,,,,,,
עוני עני,poverty,quality,,עוני,Poverty,,,,,,,
עונן,magician ,role of person,,עונן,A Diviner,,,,,,,
עונש,punishment,process,,עונש,Punishment,,,,,,,
עועים,cionfusion,process,,עועים,Distortion,,,,Isaiah 19:14,,,
עוף,bird,bird,,עוף,A Bird,,,,,,,
עופל,fortress/high place,structure,,עופל,A Fortress or a Dark Place,,,,,,,
עופר,young ram,mammal,,עופר,A Young Male Gazelle,,,Rashi,Song of Songs 2:9,,,
עופרת,lead (metal),inanimate object,,עופרת,Lead (Metal),,,,,,,
עוץ,,geographic site,,עוץ,Uz,Uts,,,,,,
עוקר הרים,critical thinker/inventive,phrase,character trait,עוקר הרים,"Someone with Sharp Analytical Skills (Lit., One who Uproots Mountains) ",,,,,,,y
עור,skin,body part,,עור,Skin,,,,,,,
עורב,raven,bird,,עורב,A Raven,,,,,,,
עורך דין,attorney,occupation,,עורך דין,Legal Adviser,,,,,,,
עורף,nape,body part,,עורף,The Nape,,,,,,,
עורק,pursuers/nerves/sinews,object,,עורק,Sinew,,,,,,,
עושר,wealth,quality,,עושר,Wealth,,,,,,,
עז פנים,bold-faced,character trait,,עז פנים,Brazen People,,,,,,,
עז,goat,mammal,,עז,A Goat,,,,,,,
עזא ועזאל,,spiritual entity,,עזא ועזאל,Angels that Sinned,Aza and Azel,,,,,,
עזאזל,,geographic site,spiritual entity,עזאזל,,Azazel,,,,,,
עזב,help/forsake,process,,עזב,To Help or Leave Over ,,,,,,,
עזות,brazen,character trait,,עזות,Brazenness,,,,,,,
עזק,enclose/dig,process,,עזק,To Dig,,,Radak,Isaiah 5:2,,,
עזר,help,process,,עזר,To Help,,,,,,,
עזרא,,biblical person,,עזרא,Ezra,,YES,,,,,
עזרה,the temple courtyard,structure,,עזרה,The Temple/Tabernacle Courtyard,,,,,,,
עזריהו בן עודד,,biblical person,,עזריהו בן עודד,"Azariah, the Son of Oded",Azaryahu ben Oded,,,,,,
עטוף,wrapped/late-producing,quality,,עטוף,Wrapped or Dangling (Vulnerable),,,,,,,
עטוש,sneezing,process,,עטוש,Sneezing (or Passing Gas),,,,,,,
עטין,fat/richness,inanimate object,,עטין,Pail,,,Rashi,Job 21:24,,,
עטף עטוף,wrapped/late-producing,quality,,עיטוף,Wrapping or Dangling (Vulnerable),,,,,,,
עטרה,crown,inanimate object,,עטרה,A Crown,,,,,,,
עי עיי העברים,ruins,structure,,עיי העברים,The Ruins of Avarim,,,,,,,
עי,,geographic site,,עי,,Ai,,,,,,
עידית,,biblical person,,עידית,,Idit,,,,,,
עיט צבוע,type of bird,bird,,עיט צבוע,A Colored Bird of Prey (Colored from Blood),,,,Jeremiah 12:9,,,y
עיט,type of bird of prey,bird,,עיט,Birds of Prey,,,,,,,
עילם,,geographic site,,עילם,,Eilam,,,,,,
עין חושים,eye/vision,body part,,עין ,Vision or Color,,,,,,,
עין מעין,spring/well,geographic feature,,עין,A Spring,,,,,,,
עין רעה,bad eye/stinginess,character trait,,עין רעה,A Bad or Stingy Eye,,,,,,,
עין גדי,,geographic site,,עין גדי,,Ein Gedi,,,,,,
עין דאר,,geographic site,,עין דאר,Endor,Ein Dor,,,,,,
עין טובה יפה,good eye/generosity,character trait,,עין טובה,A Good or Generous Eye,,,,,,,
עין יעקב,eye/progeny of Yaakov,phrase,,עין יעקב,Like Jacob,,,Tosefot,Deuteronomy 33:28,,,
עין רוגל,,geographic site,,עין רוגל,En Rogel,Ein Rogel,,,,,,
עין תחת עין,an eye for an eye,phrase,,עין תחת עין,"""An Eye for an Eye""",,,,,,,
עין,appearance,material quality,,עין,The Eye,,,,,,,
עיף,tired,quality,,עיף,Weary,,,"Gra, Malbim",,,,
עיר לוים,city of Levites,geographic site,halachic role,ערי הלוים,Levite Cities,,,,,,,
עיר מלאך,active angel,spiritual entity,,עיר,A Type of Angel,,,,Daniel 4:10,,,
עיר הנדחת,idolatrous city,halachic role,,עיר הנדחת,An Incited City (to Idolatry),,,,,,,
עיר חומה,walled city,structure,halachic role,ערי חומה,Walled Cities,,,,,,,
עיר מקלט,refuge city,geographic site,halachic role,ערי מקלט,Cities of Refuge ,,,,,,,
עיר,city,structure,,עיר,A City or Town,,,,,,,
עירא היאירי,,biblical person,,עירא היאירי,Ira the Jairite,,,,,,,
עיש,pleiades?,group of inanimate objects,,עיש,Polaris (the Northern Star),,,Ralbag,,,,
עכבר,mouse/rat,mammal,,עכבר,A Mouse,,,,,,,
עכו,,geographic site,,עכו,Acre,Akko,,,,,,
עכן,,biblical person,,עכן,,Achan,YES,,,,,
עכס,venom/rattle,object,,עכס,Rattle,,,Ralbag,,,,
עכסה,,biblical person,,עכסה,,Achsah,YES,,,,,
עכר,disrupt/interfere,process,,עכר,To Destroy,,,Radak,Genesis 34:30,,,
עכשוב,type of dangerous insect/reptile,inanimate object,,עכשוב,The Bite or Venom of a Harmful Animal,,,,Psalms 140:4,,,
על אודות,regarding,preposition,,על אודות,Regarding,,,,,,,
על דבר,about/for,preposition,,על דבר,Because of,,,Ibn Ezra,,,,
על יד,by/near,preposition,,על יד,Next to or On,,,,,,,
על כן,therefore,preposition,,על כן,Since,,,Ramban,Genesis 18:5,,,
על פי,according to,preposition,,על פי,As Explained by,,,Ketav Vehakabbalah,Exodus 34:27,,,
על פני,next to/in the presence of/on,preposition,,על פני,In the Presence of,,,,,,,
על,to/on/before/with/for,preposition,,על,"Over, To or With",,,,,,,
עלה עליה,ascend,process,,עלייה,Ascent,,,,,,,
עלות,pregnant/nursing,quality,,עלות,Pregnant or Nursing Sheep,,,,,,,
עלז,celebrate/rejoice,process,,עלז,To Rejoice,,,,,,,
עלטה,darkness,quality,,עלטה,Deep Darkness,,,,,,,
עלי בני,,group of people,,בני עלי,The Sons of Eli,,,,,,,
עלי,,biblical person,,עלי,,Eli,YES,,,,,
עליה לרגל,pilgrimage to Jerusalem,halachic process,,עליה לרגל,Festival Pilgrimage (to Jerusalem),,,,,,,
עליל,best/revealed,quality,,עליל,A Crucible,,,Malbim,Psalms 12:7,,,
עלילה,behavior/accusation,process,,עלילה,Behavior,,,,,,,
עלמה,girl,quality,,עלמה,A Girl or Young Woman,,,,,,,
עלמות כלי שיר,type of instrument,inanimate object,,עלמות,A Type of Instrument,,,Rashi,,,,
עלמות,youthfully/forever/hidden,quality,,עלמות,Forever,,,,Psalms 48:15,,,
עלף,faint,process,,עלף,To be Tired,,,,,,,
עלץ,euphoria,process,,עלץ,To Rejoice,,,,,,,
עם אומה,nation,group of people,,עם,A Nation,,,,,,,
עם עמו,with,preposition,,עם ,With,,,,,,,
עם הארץ,ignorant person,quality,,עם הארץ,An Ignorant Person,,,,,,,
עמד עמידה,stand/stay/stop/attend to,process,,עמידה,Standing Up,,,,,,,
עמדי,with me,preposition,,עמדי,Together With Me,,,,R. S. R. Hirsch,,,
עמוד ענן,pillar of cloud,spiritual entity,,עמוד ענן,A Pillar of Cloud,,,,,,,
עמון,,nation/ethnicity,,עמון,,Ammon,,,,,,
עמוס,,biblical person,,עמוס,,Amos,,,,,,
עמורה,,geographic site,,עמורה,Gomorrah,Amorah,,,,,,
עמית,fellowman,role of person,,עמית,Compatriot,,,,,,,
עמל,work/futility,process,,עמל,Exertion,,,Malbim,,,,
עמלק מחיית זכר,annihilating memory of Amalek,halachic process,,מחיית זכר עמלק,Annihilating the Memory of Amalek,,,,,,,
עמלק מלחמת,war with Amalek,biblical historical event,,מלחמת עמלק,The War with Amalek,,,,,,,
עמלק,,biblical person,,עמלק,,Amalek,YES,,,,,
עמנואל,,group of people,,עמנואל,,Imannuel,,,,,,
עמק,valley,geographic feature,,עמק,A Valley,,,,,,,
עמרי,,biblical person,,עמרי,,Omri,YES,,,,,
עמרם,,biblical person,,עמרם,,Amram,YES,,,,,
עמשא,,biblical person,,עמשא,,Amasa,YES,,,,,
ענבים,grapes,plant,,ענבים,Grapes,,,,,,,
ענה תענית,afflict/fast,process,,תענית,A Fast,,,,,,,
ענה,answer/raise voice,process,,ענה,To Respond,,,,,,,
ענוה,humility,character trait,,ענוה,Humility,,,,,,,
עני,poor person,quality,,עני,A Poor Person,,,,,,,
ענן,cloud,weather,,ענן,A Cloud,,,,,,,
ענק,giant/strong person,quality,,ענק,A Giant,,,,,,,
ענר,,biblical person,,ענר,,Aner,,,,,,
ענתות,,geographic site,,ענתות,,Anatot,,,,,,
עסה,dough,inanimate object,,עסה,Dough,,,,,,,
עסיס,juice,inanimate object,,עסיס,Nectar or Juice,,,,,,,
עפר,dirt,inanimate object,,עפר,Dirt,,,,,,,
עפרון,,biblical person,,עפרון,,Efron,YES,,,,,
עץ הדעת,tree of knowledge,spiritual entity,,עץ הדעת,The Tree of Knowledge,,,,,,,
עץ החיים,tree of life,spiritual entity,,עץ החיים,The Tree of Life,,,,,,,
עץ,tree/wood/stalk,plant,,עץ,A Tree,,,,,,,
עצב,sad/remorseful,emotion,,עצב,Sadness or Distress,,,,,,,
עצבים,nerves,body part,,עצבים,Nerves,,,,,,,
עצה לעומת העצה,spine,body part,,לעומת העצה,The Spine,,,Targum Onkelos,Leviticus 3:9,,,
עצה,insight/advice,process,,עצה,Counsel,,,,,,,
עצום,great/large,quality,,עצום,Large,,,,,,,
עצומות,attacks,process,,עצומות,Fights,,,Ibn Ezra,,,,
עצור,possession,object,,עצור,Captive,,,Rashi,Deuteronomy 32:36,,,
עציון גבר,,geographic site,,עציון גבר,Ezion Geber,Etzion Gaver,,,,,,
עצל עצלות,lazy,quality,,עצלות,Laziness,,,,,,,
עצלנות,laziness,character trait,,עצלנות,Laziness,,,,,,,
עצם היום,exact day,phrase,day,עצם היום,The Exact Day,,,,,,,
עצם,bone,body part,,עצם,A Bone,,,,,,,
עצרה,gathering/break,process,,עצרה,A Gathering,,,,,,,
עצרת,holiday,day,,עצרת,The Rabbinic Name for Pentecost,Atzeret,,,,,,
עקב ויעקבני,trick,process,,ויעקבני,"""And He Tricked Me""",,,,,,,
עקב עקב תשמעון,because of/for,preposition,,עקב תשמעון,"""Because You Shall Listen""",,,,,,,
עקב,heel,body part,,עקב,A Heel,,,,,,,
עקד,bind,process,,עקד,To Bind,,,,,,,
עקדה,binding of yitzchak,biblical historical event,,עקדה,The Binding [of Isaac],,,,,,,
עקילס,,mishnaic person,,עקילס,Aquilas,,YES,,,,,
עקר עקרה,infertile,quality,,עקרה,A Barren Woman,,,,,,,
עקר,source,object,,עקר,An Extension,,,,,,,
עקרב,scorpion,arthropod,,עקרב,A Scorpion,,,,,,,
עקרת,infertile/mainstay,quality,,עקרת,The Barren One of,,,,,,,
ער בכור יהודה,,biblical person,,ער בכור יהודה,"Er, the Firstborn Son of Judah",,YES,,,,,
ער מואב,,geographic site,,ער מואב,Ar of Moab,,,,,,,
ער,enemy,role of person,,ער,Enemy,,,,,,,
ערב ערבות,inter-responsibility/co-sign,quality,,ערבות,Responsibility for One Another,,,,,,,
ערב יום טוב,eve of holiday,day,,ערב יום טוב,Eve of a Holiday,,,,,,,
ערב פסח,eve of pesach,holiday,,ערב פסח,Eve of Passover,,,,,,,
ערב רב,assimilated non-jewish multitude,group of people,,ערב רב,The Mixed Multitude,,,,,,,
ערב שבת,eve of sabbath,day,,ערב שבת,Eve of Shabbat,,,,,,,
ערב,evening,part of a day,,ערב,Evening,,,,,,,
ערבה בקעה,plain,geographic feature,,ערבה,Plain,,,,,,,
ערבה סוכות,willow,plant,,ערבה,A Willow [Plant or Branch],,,,,,,
ערבות שמים,highest level of heavens,spiritual site,,ערבות שמים,The Heavens of the Heavens,,,,,,,
ערבות,inter-responsibility/co-sign,quality,,ערבות,Responsibility for One Another,Arevut,,,,,,
ערבי,,nation/ethnicity,,ערבי,The Arabs,,,,,,,
ערג,cry (of thirst),process,,ערג,Cry Out,,,,,,,
ערה,expose,process,,ערה,Expose,,,,,,,
ערום ערמה,cleverness,character trait,,ערמה,Cunning,,,,,,,
ערום,naked,quality,,ערום,Naked,,,,,,,
עריות,illicit relationships,halachic process,,עריות,[Forbidden] Sexual Relationships,,,,,,,
ערירי,dying childless,process,,ערירי,Childless (as a Punishment),Ariri,,,,,,
ערכין,evaluation,halachic process,,ערכין,Valuations,Arakhin,,,,,,
ערל ערלה,uncircumcized/sealed,quality,,ערל,Uncircumcised or Covered,,,,,,,
ערלה,fruit during first 3 years,quality,,ערלה,A Status of Fruit During the Tree's First Three Years,Orlah,,,,,,
ערמה,cleverness,character trait,,ערמה,Cunning,,,,,,,
ערער,lone/fruitless [tree],quality,,ערער,A Desolate Tree or Person,,,,,,,
ערף,drip/destroy/behead from the nape,process,,ערף,Bring Down,,,Ibn Ezra,,,,
ערפה,,biblical person,,ערפה,,Orpah,YES,,,,,
ערפל,darkness,quality,,ערפל,Dark Dense Mist,,,,,,,
ערץ,break/strengthen,process,,ערץ,To Break,,,,,,,
עש,type of worm,worm,,עש,A Type of Worm,,,,,,,
עשב,herb/grass,plant,,עשב,Grass,,,,,,,
עשה,do/make/amass/complete,process,,עשה,To Make or Do,,,,,,,
עשהאל,,biblical person,,עשהאל,,Ashael,,,,,,
עשו,,biblical person,,עשו,Esau,Esav,YES,,,,,
עשיר,wealthy person,quality,,עשיר,A Wealthy Person,,,,,,,
עשירית האפה,tenth of an eifah-measure,material quality,,עשירית האפה,A Tenth of an Ephah-measure,,,,,,,
עשן,smoke,inanimate object,,עשן,Smoke,,,,,,,
עשק,take advantage of,process,,עשק,Oppress,,,,,,,
עשר מכות ארבה,ten plagues locusts,biblical historical event,,מכת ארבה,The Plague of Locusts,,,,,,,
עשר מכות ברד,ten plagues hail,biblical historical event,,מכת ברד,The Plague of Hail,,,,,,,
עשר מכות דבר,ten plagues pestilence,biblical historical event,,מכת דבר,The Plague of Pestilence,,,,,,,
עשר מכות דם,ten plagues blood,biblical historical event,,מכת דבר,The Plague of Blood,,,,,,,
