Topic,English description,Is A Type Of,Is a Type Of (2),Final Topic Name,Final English Translation,Final English Transliteration,Is Translation from External Source,According to:,Additional sources (please use link to Sefaria segment and list multiple sources separated by comma),,,Is Paren Good Description
אותו,him,word,,אותו,Him,,,,,,,
אז,then (past or future),word,,אז,Then,,,,,,,
אזהרה,warning,quality,,אזהרה,Warning,,,,,,,
אזוב,an herb with buds,plant,,אזוב,Hyssop,,,,,,,
אזן,weapon,role,,אזן,Spike,,,,,,,
אזרח,an integrated member,role of person,,אזרח,A Member of the Community,,,,,,,
אח אחות,brother/sister,family role,,אח ואחות,A Brother and a Sister,,,,,,,
אח,exclamation of distress,word,,אח,An Exclamation of Distress,Ach,,,,,,
אחאב,,biblical person,,אחאב,Ahab,,YES,,,,,
אחד,one,quality,,אחד,One,,,,,,,
אחדות,oneness,quality,,אחדות,Unity,,,,,,,
אחדים,few,quality,,אחדים,Several,,,,,,,
אחו,marsh,geographic feature,,אחו,A Marsh,,,,,,,
אחוזה,holding (property),quality,,אחוזה,A Holding (Property),,,,,,,
אחוזת,group,group of people,,אחוזת,An Entourage,,,,,,,
אחז,,biblical person,,אחז,,Ahaz ,,,,,,
אחזיה,,biblical person,,אחזיה,,Ahaziah (of Judah),YES,,,,,
אחיה השילוני,,biblical person,,אחיה השילוני,Ahijah the Shilonite,,YES,,,,,
אחיזת עינים,illusion,halachic process,,אחיזת עינים,Sleight of Hand (a trick),,,,,,,
אחימלך,,biblical person,,אחימלך,,Ahimelech,YES,,,,,
אחימן,,biblical person,,אחימן,,Ahiman,,,,,,
אחימעץ,,biblical person,,אחימעץ,,Ahimaaz,YES,,,,,
אחיתופל,,biblical person,,אחיתופל,,Ahitophel,YES,,,,,
אחר אלישע בן אבויה,,mishnaic person,,אחר,"""The Other One"" (Elisha b. Avuyah)",,,,,,,
אחר בשש,late,quality,,איחור,Lateness,,,,,,,
אחר סמוך,soon after,preposition,,אחר סמוך,Adjacently After,,,,,,,
אחר כן,after that,preposition,,אחר כן,Afterwards,,,,,,,
אחר,,mishnaic person,,אחר,"""The Other One""",,,,,,,
אחרון,last,quality,,אחרון,Last or Later,,,,,,,
אחרי,long after,preposition,,אחרי,After,,,,,,,
אחרית הימים,the days of mashiach,theological tenet,span of time,אחרית הימים,The End of Days (Messianic Times),,,,,,,
אחרית,ultimate end,quality,,אחרית,Ultimate End,,,,,,,
אחשורוש ואסתר,,specific biblical person relationship,,אחשורוש ואסתר,Ahasuerus and Esther,,,,,,,
אחשורוש והמן,,specific biblical person relationship,,אחשורוש והמן,Ahasuerus and Haman,,,,,,,
אחשורוש וושתי,,specific biblical person relationship,,אחשורוש וושתי,Ahasuerus and Vashti,,,,,,,
אחשורוש משתה,,biblical historical event,,משתה אחשורוש,Ahasuerus' Party,,,,,,,
אחשורוש,,biblical person,,אחשורוש,Ahasuerus,Achashverosh,YES,,,,,
אחשתרנים,fast camels,mammal,,אחשתרנים,Fast Riding Animals,Achashteranim,,,,,,
אטליה,"""Italia""",geographic site,,אטליה,Italy,,,,,,,
אי איפה,not/where,word,,אי,A Type of Cat or Other Animal,,,,,,,
אי שבים,peninsula,geographic feature,,אי,An Island or Peninsula,,,,,,,
אי מזה,"""from where [comes]""",phrase,,אי מזה,"""From Which Place [Comes]""",,,,,,,
אי,cat?,mammal,,אי,A Type of Cat or Other Animal,,,,,,,
איבה,hatred,emotion,,איבה,Enmity,,,,,,,
איוב וחבריו,Iyov and friends,group of people,,איוב וחבריו,Job and His Friends,,YES,,,,,
איוב,,biblical person,,איוב,Job ,Iyov,YES,,,,,
איזבל,,biblical person,,איזבל,Jezebel,Izevel,YES,,,,,
אייר,month of Iyar,month,,אייר,The Month of Iyar,,,,,,,
איכה,,biblical source,,איכה,"The Book of Lamentations (Lit., How)",Eichah,,,,,,y
איל אילה,ram/ewe,mammal,,אייל,A Deer,,,,,,,
איל כח,strength,quality,,איילות,Strength,,,,,,,
איל מישר,plain,geographic feature,,איל פארן,The Plateau of Paran,,,,,,,
איל,ram,mammal,,איל,A Ram,,,,,,,
אילה,ewe,mammal,,אילה,An Ewe,,,,,,,
אילן,tree,plant,,אילן,A Tree,,,,,,,
אילת השחר,type of instrument,inanimate object,,אילת השחר,A Type of Instrument or the Morning Star,Ayelet Hashachar,,,,,,
אימא שלום,,mishnaic person,,אימא שלום,,Ema Shalom,,,,,,
אימה,fear,emotion,,אימה,Fear,,,,,,,
אימים,type of giants,group of people,,אימים,A Group of Giants,,,,,,,
אין,not/nothing,quality,,אין,Not or Nothing,,,,,,,
איפה איה,where,word,,איפה,Where,,,,,,,
איפה שיעור,type of measure,material quality,,איפה,Ephah (A Measure of Volume),,,,,,,y
איפוא,if so,word,,איפוא,If So,,,,,,,
איפרא הורמיז,,talmudic person,,איפרא הורמיז,The Mother of King Shapur of Persia,Ifera Hurmiz,,,,,,
אירוסין,engagement,relationship,,אירוסין,Engagement,Eirusin,,,,,,
איש ואשה,man and woman,relationship,,איש ואשה,A Man and Wife ,,,,,,,
איש בושת,,biblical person,,איש בושת,,Ish-bosheth,YES,,,,,
איש האדמה,"""man of the earth""",phrase,character trait,איש האדמה,A Man of the Soil (A Farmer),,,,,,,y
איש האלקים,a holy man/a prophet,phrase,character trait,איש האלקים,A Man of God (a Holy Man),,,,,,,
איש חיל,professional/wealthy person,quality,,איש חיל,A Wealthy or Otherwise Capable Man,,,,,,,
איש,important person,quality,,איש,A Man,,,,,,,
אישון,pupil (of the eye),body part,,אישון,The Pupil (of the Eye),,,,,,,
אישים,important people,role of person,,אישים,Important People,,,,,,,
איתיאל,,biblical person,,איתיאל,,Itiel,,,,,,
איתם מדבר,,geographic site,,מדבר איתם ,The Wilderness of Eitam,,,,Psalms 19:14,,,
