Topic,English description,Is A Type Of,Is a Type Of (2),According to,About Category,Is Category,About Topic,Notes
מחוספס,spread thinly,material quality,,"רשב""ם",,,,
מחוסר זמן,premature,halachic quality,,,,,,
מחוקק,scribe/lawgiver/scholar,occupation,,,,,,
מחזה,vision,process,,,,,,
מחטיא,cause to sin,process,,,,,,
מחילה,forgiveness,process,,,,,,
מחיצה של ברזל,iron wall,phrase,,,,,,
מחיצה,wall/divider,structure,,,,,,
מחלה,sickness,process,,,,,,
מחלון וכליון,,group of people,,,,,,
מחלוקת,division/argument,process,,,,,,
מחלת נגינה,,musical process,,,,,,
מחלת,,spiritual entity,,,,,,
מחמד,Muhammad,person,,,,,,
מחנה ישראל,camp of Israel,geographic site,,,,,,
מחנה,camp,structure,,,,,,
מחסה,protection/shelter,quality,,,,,,
מחצית השקל,half-shekel,halachic process,,,,,,
מחצית,half,number,,,,,,
מחצץ,archer,occupation,,"רד""ק",,,,
מחקרי,depths/mysteries/outer limits,knowledge,,,,,,
מחר,tomorrow/later,quality,,,,,,
מחשבה,thought,process,,,,,,
מחתה,scoop/shovel,inanimate object,,,,,,
מטבע,coin,inanimate object,,,,,,
מטה שינה,bed,inanimate object,,,,,,
מטה,staff,inanimate object,,,,,,
מטחוי,trajectory,continuant fiat boundary,,,,,,
מטטרון,,spiritual entity,,,,,,
מטר,rain,weather,,,,,,
מי חטאת,parah adumah water,halachic role of inanimate object,,,,,,
מי מלח,saltwater,inanimate object,,,,,,
מי מריבה,waters of contention,biblical historical event,,,,,,
מי סוטה,water for sotah,halachic role of inanimate object,,,,,,
מי ראש,poison,inanimate object,,,,,,
מי רגלים,urine,inanimate object,,,,,,
מי שפרע,"""he who exacted punishment from...""",phrase,,,,,,
מי,who,word,,,,,,
מיאוס,disgust,emotion,,,,,,
מיכאל,,spiritual entity,,,,,,
מיכה הנביא,,biblical person,,,,,,
מיכה ופסל,michah and the idol,biblical historical event,,,,,,
מיכיהו,,biblical person,,,,,,
מיכל,,biblical person,,,,,,
מילדת,midwife,occupation,,,,,,
מילה,bris milah,halachic process,,,,,,
מים אחרונים,,halachic process,,,,,,
מים,water,inanimate object,,,,,,
מין מינות,heresy,role,,,,,,
מינים,type of instrument,inanimate object,,,,,,
מינקת,nurse,occupation,,,,,,
מירב,,biblical person,,,,,,
מישאל ואלצפן,,group of people,,,,,,
מישוש,feeling/touch,process,,,,,,
מישע,,biblical person,,,,,,
מישרים,proper/righteous conduct,process,,,,,,
מיתה הרוגי מלכות,martyrdom,process,,,,,,
מיתה בידי שמים,death from heaven,theological process,,,,,,
מיתה,death,lifecycle process,,,,,,
מיתת בית דין,capital punishment,halachic process,,,,,,
מכה אביו ואמו,one who wounds parent,halachic process,,,,,,
מכה,hit/kill/wound,process,,,,,,
מכוה,skin burn,fiat object part,,,,,,
מכון,establishment,structure,,,,,,
מכות,lashes,process,,,,,,
מכיר,,biblical person,,,,,,
מכירה,sale,process,,,,,,
מכל,"""from all""",phrase,,,,,,
מכנה שם,giving nickname,halachic process,,,,,,
מכנסים,pants,inanimate object,,,,,,
מכס,tax,role,,,,,,
מכסת,value/portion/count,quality,,,,,,
מכרי כהונה,friend of kohan,role of person,,,,,,
מכשף מכשפה,sorcerer,role of person,,,theurgy,,,hidden in above entry
מכתם,"something precious, like fine gold",quality,,"רד""ק",,,,alt. an instrument or type of song
מכתש,,geographic site,,,,,,possibly a feature 
מכתשת,mortar (for compounding),inanimate object,,,,,,
מלא אחרי,he followed me,phrase,,,,,,
מלא יד,to be trained in/registered for,phrase,,,,,,
מלא,full,quality,,,,,,
מלאה,full produce and its required gifts,quality,,,,,,
מלאך אופנים,type of angel,spiritual entity,,,,,,
מלאך גבריאל,type of angel,spiritual entity,,,,,,
מלאך חבלה,destructive angel,spiritual entity,,,,,,
מלאך חיות,type of angel,spiritual entity,,,,,,
מלאך רפאל,type of angel,spiritual entity,,,,,,
מלאך שירה וקדושה,song and kedushah of angels,process,,,,,,
מלאך תורה,angels and Torah,theology,,,,,,
מלאך המות,angel of death,spiritual entity,,,,,,
מלאך,angel/messenger,spiritual entity,,,,,,
מלאכה,work,process,,,,,,
מלאכי,,biblical person,,,,,,
מלבד,besides,preposition,,,,,,
מלבין פנים,embarass,phrase,,,,,,
מלוא,low wall/inner perimeter,structure,,"רש""י",,,,
מלואים,inauguration korban,halachic process,,,,,,
מלוה,loan,halachic process,,,,,,
מלח אניה,sailor,occupation,,,,,,
מלח קרבן,covenant of salt,covenant,,,,,,
מלחמה,war,process,,,,,,
מלט,cement,inanimate object,,,,,,
מליח,salted,material quality,,,,,,
מליקה,slaughtering by hand,halachic process,,,,,,
מלך מלכות,king,occupation,,,,,,
מלכות רביעית,"""the 4th kingdom""",theology,,,,,,
מלכי צדק,,biblical person,,,,,,
מלכת השמים,star/subject of idolatry,halachic process,,,theurgy,,,
מלל,tell,process,,"רש""י",,,,
מלמד,teacher,occupation,,,,,,
מלפפון,squash/gourd,plant,,,,,,
מלצר,butler,occupation,,"רש""י",,,,
מלק,slaughtering by hand,halachic process,,,,,,
מלקוח,loot,group of inanimate objects,,,,,,also some other object that isn't clear from context; not grouped because it isn't necessarily inanimate
מלקוש,late rain,weather,,,,,,
מלקות,lashes,halachic process,,,,,,
מלשין,to give over to authorities,process,,,,,,
מלתחה,storage boxes,inanimate object,,,,,,
מלתעות,chewing teeth,body part,,,,,,
ממארת,painful/cursed,quality,,,,,,
ממוכן,,biblical person,,,,,,
ממולח,mixed well,quality,,תרגום,,,,
ממון,money/property,group of inanimate objects,,,,,,
ממזר,child born of illegitimate relationship,quality,,,,,,
ממחרת השבת,after first day of pesach,phrase,,,,,,about the contention of the sadducees over this phrase
ממלכה,kingdom,site,,,,,,
ממנו,from him/it/them,preposition,,,,,,
ממעל,above,preposition,,,,,,
ממרא,,biblical person,,,,,,
ממשח וממרט,coerced and pillaged,phrase,,,,,,spelled wrong it seems
ממשלה,sovereignty,site,,,,,,
מן דור המדבר,manna of desert,food,,,,,,
מן מ,from,preposition,,,,,,
מן העולם,"""from the world/beginning...""",phrase,,,,,,
מנגד,facing,preposition,,,,,,
מנה בחר,appoint,process,,,,,,
מנה חלק,portion,fiat object part,,,,,,
מנה מנין,count,process,,,,,,
מנהג,custom/behavior,meta halacha,,,,,,
מנהיג,leader,occupation,,,,,,
מנהרה,hiding place/cave,structure,,,,,,
מנוח,,biblical person,,,,,,
מנוחה,rest,process,,,,,,
מנורה,candelabra,inanimate object,,,,,,
מנזר,royalty,role of person,,,,,,
מנחה מתנה,gift,role,,,,,,
מנחה קרבן תפלה,source of mincha as tefillah,theology,,,,,,
מנין,census/count,process,,,,,,
מנלם,their goal,realizable entity,,"רש""י",,,,
מנע,withhold,process,,,,,,
מנעל,shoe,inanimate object,,,,,,
מנצפך,letters with end forms,letter,,,,,,
מנשה המלך,,biblical person,,,,,,
מנשה,,biblical person,,,,,,
מס,subservience/tax,role,,,,,,
מסוה,mask,inanimate object,,,,,,
מסורת,tradition,process,,,,,,
מסות,challenges/proofs,process,,"רש""י",,,,
מסחר,business,process,,,,,,
מסטיק,gum,inanimate object,,,,,,
מסיג גבול,expanding into others' property,halachic process,,,,,,
מסיח לפי תומו,speaking informally,phrase,,,,,,
מסילה,paved road,structure,,,,,,
מסירה,handing over,process,,,,,,
מסירות נפש,giving oneself/one's life,process,,,,,,
מסית,to encourage idolatry,halachic process,,,,,,
מסך,divider,structure,,,,,,
מסכה,metal/forged,quality,,"רש""י",,,,
מסכנות,treasury,structure,,,,,,
מסכתא,tractate/loom,source,,,,,,
מסע,journey,process,,,,,,
מספא,fodder,inanimate object,,,,,,
מספר אחד,number 1,number,,,,,,
מספר אלף,number 1000,number,,,,,,
מספר ארבעה,number 4,number,,,,,,
מספר ארבעים,number 40,number,,,,,,
מספר חמשה,number 5,number,,,,,,
מספר חמשים,number 50,number,,,,,,
מספר טו,number 15,number,,,,,,
מספר יא,number 11,number,,,,,,
מספר יב,number 12,number,,,,,,
מספר יג,number 13,number,,,,,,
מספר יח,number 18,number,,,,,,
מספר מאה,number 100,number,,,,,,
מספר מה,number 45,number,,,,,,
מספר עשרה,number 10,number,,,,,,
מספר רבבה,"number 10,000/myriad",number,,,,,,
מספר ש,number 300,number,,,,,,
מספר שבעה,number 7,number,,,,,,
מספר שבעים,number 70,number,,,,,,
מספר שלשה,number 3,number,,,,,,
מספר שלשים,number 30,number,,,,,,
מספר שמונה,number 8,number,,,,,,
מספר שמונים,number 80,number,,,,,,
מספר שנים,number 2,number,,,,,,
מספר ששה,number 6,number,,,,,,
מספר ששים רבוא,"number 600,000",number,,,,,,
מספר ששים,number 60,number,,,,,,
מספר ת,number 400,number,,,,,,
מספר תשעה,number 9,number,,,,,,
מספר,quantity/numbers,quality,,,number,,,
מסרף,friend who saves remains from fire,phrase,,"רש""י",,,,
מסת,commensurate with,preposition,,"רש""י",,,,
מעון,dwelling,structure,,,,,,
מעונן,magician,role of person,,,theurgy,,,
מעוף,lethargy/darkness,quality,,"רש""י",,,,
מעי מעים,intenstines,body part,,,,,,
מעי עיוור,cecum (attached to appendix),body part,,,,,,
מעיל,coat,inanimate object,,,,,,
מעילה,benefitting from sanctified property,halachic process,,,,,,
מעין,spring (of water),geographic feature,,,,,,
מעל מעילה,benefitting from sanctified property,halachic process,,,,,,
מעלה בחוץ,sacrificing outside Beis HaMikdash,halachic process,,,,,,
מעלה גרה,animal that regurgitates cud,material quality,,,,,,
מעלל,behavior,process,,,,,,
מעמד ומושב,standing and sitting for mourners,halachic process,,,,,,
מעמדות,divisions of population for prayer/presence in Beis HaMikdash,group of people,,,,,,
מענה מענית,measure of furrow,material quality,,,,,,
מעקה,safety fence on roof,structure,,,,,,
מערב,west,quality,,,,,,
מערה,cave,geographic feature,,,,,,
מערכה,the cosmic arrangement,object,,,philosophy,,,
מערת המכפלה,,geographic site,,,,,,
מעשה אבות,deeds of the forefathers,biblical historical event,,,,,,
מעשה בראשית,Creation of existence,theological process,,,,,,
מעשה מרכבה מרכבה,the Divine chariot,theological process,,,,,,
מעשה,act,process,,,,process,,
מעשים טובים,acts of goodness,process,,,,,,
מעשר בעור וודוי,getting rid of/confession over tithe,halachic process,,,,,,
מעשר בהמה,animal tithe,halachic role,,,,,,
מעשר עני,tithe for poor,halachic role of inanimate object,,,,,,
מעשר שני,second tithe,halachic role of inanimate object,,,,,,
מעשר,tithe,halachic role,,,,,,
מפיבושת,,biblical person,,,,,,
מפלצת,terrifying idol,inanimate object,,"רד""ק",,,,
מפלשי,inner workings of,process,,"רש""י",,,,"in the sense of ""how they [clouds] work and what they are composed of"" if i understood correctly"
מפני,from before/because,preposition,,,,,,
מפרסת פרסה,split hooves,quality,,,,,,
מפתה,seduce,halachic process,,,,,,
מפתח,key,inanimate object,,,,,,
מצא מציאה,finding lost object,halachic process,,,,,,
מצא חן,to find favor,phrase,,,,,,
מצבה,monolith,inanimate object,,,,,,
מצה,unleavened bread,halachic role of inanimate object,food,,,,,
מצוה בין אדם למקום בין אדם לחברו,interpersonal mitzvos vs. between man and HaShem,meta halacha,,,,,,
מצוה מעשה,act of a mitzvah,halachic process,,,,,,
מצוה עשה ולא תעשה,positive vs. negative mitzvos,meta halacha,,,,,,
מצוה פעולה,effect of a mitzvah,theological process,,,,,,
מצוה תלויה בארץ,mitzvah in land of Israel,meta halacha,,,,,,
מצוה,commandment,generically dependent continuant,,,,,,
מצולה,abyss/depth,geographic feature,,,,,,
מצוק,trouble/struggle,process,,,,,,
מצוקי,foundations of,structure,,"רד""ק",,,,[of the earth]
מצור,siege,process,,,,,,
מצורע,metzora,halachic quality,,,,,,
מצח,forehead,body part,,,,,,
מצחק,play/be frivolous/laugh,process,,,,,,
מציאות,existence/reality,theology,,,,,,
מצעדי,movements of,process,,אבן עזרא,,,,
מצפה,,geographic site,,,,,,
מצפון,conscience,spiritual entity,,,,,,
מצרים בים סוף,egypt at the sea,biblical historical event,,,,,,
מצרים ישיבת,returning to egypt,process,,,,,,
מצרים רעב,famine in egypt,biblical historical event,,,,,,
מצרים,,nation/ethnicity,,,,,,
מקדש,the sanctuary/temple,structure,,,,,,
מקוה,collection of water/mikveh,halachic role of inanimate object,structure,,,,,
מקום,place/space,quality,,,,site,,
מקושש,wood gatherer incident,biblical historical event,,,,,,
מקח וממכר,buying and selling,process,,,,,,
מקל,stick,inanimate object,,,,,,
מקלל אביו ואמו,one who curses parent,halachic process,,,,,,
מקלל,curse,process,,,,,,
מקנה,"possessions, esp. livestock",group of animals,,,,,,
מקץ,from the end,preposition,,"רש""י",,,,
מקצוע,specialty/profession,occupation,,,,occupation,,i recall it meaning a corner also
מקרא קדש,holiday,span of time,,,,,,
מקרא,written torah,biblical source,,,,,,
מקרה,happening/chance,theology,,,,,,
מקשרות,first-birthing sheep,quality,,תרגום אונקלוס,,,,
מר,bitter,material quality,,,,,,
מראה במראות,mirror,inanimate object,,,,,,
מראה יפת תאר,beautiful appearance,material quality,,,,,,
מראה מראתו,crop (anatomy),body part,,,,,,
מראה נבואה,"prophetic ""vision""",theological process,,,,,,
מראית העין,suspicion,halachic process,,,,,,
מראשותיו,around/near one's head,quality,,,,,,
מרבכת,scalded,material quality,,,,,,
מרגלים,spies,role of person,,,,,,
מרגלית,pearl?,inanimate object,,,,,,
מרד,rebellion,process,,,,,,
מרדכי,,biblical person,,,,,,
מרה דור המדבר,,biblical historical event,geographic site,,,,,
מרה טבע,bile/humor,object,,,,,,
מרה רוח,rebellious/purposefully upsetting,character trait,,,,,,
מרודים,suffering/vulnerable,quality,,,,,,
מרודך בלאדן,,biblical person,,,,,,
מרוז,,geographic site,,"רד""ק",,,,alt. a person or even a star/planet; machlokes in gemara and pashtanim
מרור,maror,food,halachic role of inanimate object,,,,,
מרזח,cry of emotion,process,,"רד""ק",,,,
מרחוק,from afar,preposition,,,,,,
מרחץ,bath,structure,,,,,,
מרחק,distance,material quality,,,,,,
מרחשון,,month,,,,,,
מרי בר איסק,,talmudic person,,,,,,
מריא,fattened animal,material quality,,,,,,
מריבה,fight/debate,process,,,,,,
מרים בת בייתוס,,mishnaic person,,,,,,
מרים בת בלגה,,mishnaic person,,,,,,
מרים בת נקדימון,,mishnaic person,,,,,,
מרים התרמודית,,mishnaic person,,,,,,
מרים,,biblical person,,,,,,
מריקה,scouring,process,,,,,,
מרירי,,spiritual entity,,"רש""י",,,,
מרך,fear/weakness,emotion,,,,,,
מרכבה,chariot,inanimate object,,,,,,
מרכז,center,material quality,,,,,,
מרמה,cleverness,quality,,תרגום,,,,
מרעהו,of his friends,group of people,,,,,,
מרק,scouring,process,,,,,,
מרקוליס,,theurgy,,,,,,
מררי,,biblical person,,,,,,
מרשה,,geographic site,,,,,,
מרתא בת בייתוס,,mishnaic person,,,,,,
משא משאוי,load/burden,role,,,,,,
משא נבואה,prophecy of punishment,process,,,,,,
משארות,dough/kneading-troughs,inanimate object,,,,,,
משאת,meal/portion,inanimate object,,,,,,
משגל,physical intimacy,process,,,,,,
משה אוהל מועד,Moshe and the tent,biblical historical event,,,,,משה,
משה אותות,Moshe and the signs,biblical historical event,,,,,משה,
משה במדין,Moshe in Midyan,biblical historical event,,,,,משה,
משה בסיני,Moshe at Sinai,biblical historical event,,,,,משה,
משה בסנה,Moshe at the bush,biblical historical event,,,,,משה,
משה ברכתו,Moshe blessing,biblical historical event,,,,,משה,
משה דין,Moshe judging,biblical historical event,,,,,משה,
משה וארון יוסף,Moshe and coffin of Yosef,biblical historical event,,,,,משה,
משה וארץ ישראל,Moshe and land of Israel,biblical historical event,,,,,משה,
משה ובניו,Moshe and his children,group of people,,,,,משה,
משה וה,Moshe and HaShem,theology,,,,,משה,
משה והלוחות,Moshe and tablets,biblical historical event,,,,,משה,
משה והמצרי,Moshe and the egyptian,biblical historical event,,,,,משה,
משה וחטא העגל,Moshe and golden calf,biblical historical event,,,,,משה,
משה ויהושע,Moshe and Yehoshua,specific biblical person relationship,,,,,משה,
משה וישראל,Moshe and Israel,specific biblical person relationship,,,,,משה,
משה ויתרו,Moshe and Yisro,specific biblical person relationship,,,,,משה,
משה ומלאכים,Moshe and angels,theology,,,,,משה,
משה ומרים,Moshe and Miriam,specific biblical person relationship,,,,,משה,
משה ופרעה,Moshe and Pharaoh,specific biblical person relationship,,,,,משה,
משה וצפורה,Moshe and Tzipporah,specific biblical person relationship,,,,,משה,
משה וקרח,Moshe and Korach,biblical historical event,,,,,משה,
משה חטא,Moshe sin,biblical historical event,,,,,משה,
משה חצוצרות,Moshe trumpets,biblical historical event,,,,,משה,
משה ידיעה,Moshe's knowledge,knowledge,,,,,משה,
משה כהונה,Moshe's priesthood,biblical historical event,,,,,משה,
משה לידתו,Moshe's birth,biblical historical event,,,,,משה,
משה מטה,Moshe staff,inanimate object,,,,,משה,
משה מי מריבה,Moshe at waters of contention,biblical historical event,,,,,משה,
משה מילה,Moshe bris milah,biblical historical event,,,,,משה,
משה מיתה וקבורה,Moshe death and burial,biblical historical event,,,,,משה,
משה נבואה,Moshe's prophecy,theological process,,,,,משה,
משה סיחון ועוג,Moshe vs. sichon and og,specific biblical person relationship,,,,,משה,
משה עמלק,Moshe vs. amalek,biblical historical event,,,,,משה,
משה ערל שפתים,Moshe speech impediment,quality,,,,,משה,
משה קרון עור פניו,Moshe radiant face,quality,,,,,משה,
משה תוכחה,Moshe rebuke,biblical historical event,,,,,משה,
משה תורה,Moshe and Torah,theological tenet,specific person relationship,,,,משה,
משה תפלה במרגלים,Moshe prayer re spies,biblical historical event,theological process,,,,משה,
משה תפלה בעגל,Moshe prayer re calf,biblical historical event,theological process,,,,משה,
משה תפלה לעצמו,Moshe prayer for himself,biblical historical event,theological process,,,,משה,
משה תפלה,Moshe prayer,theological process,,,,,משה,
משה ואהרן,Moshe and Aharon,specific biblical person relationship,,,,,,
משה,,biblical person,,,,,,
משוא פנים,preferential treatment,process,,,,,,
משואות,fears/destruction,process,,,,,,
משוכה,security fence (of thorns),structure,,,,,,
משומד,apostate,quality,,,,,,
משורה,type of liquid measure,material quality,,,,,,
משוש,celebration/joy,process,emotion,,,,,
משח משיחה,annointing with oil,process,,,,,,
משחית,[force of] destruction,spiritual entity,,,,,,
משחק,game,process,,,,,,
משי,silk,inanimate object,,,,,,
משיח חבלי,birthpangs of messiah,theology,,,,,,
משיח ימות,messianic era,span of time,theology,,,,,
משיח בן יוסף,messiah from yosef,role of person,,,,,,
משיח,messiah/annointed,role of person,,,,,,
משיכה,pulling/drawing [to buy],halachic process,,,,,,
משך,seeding [tool],inanimate object,,,,,,
משכב זכור,homosexual act,halachic process,,,,,,
משכון,collateral,role,,,,,,
משכיל,understand/achieve,process,,,,,,
משכית,tiled,quality,,"רש""י",,,,
משכן אדנים,mishkan bases,group of inanimate objects,,,,,משכן,
משכן בריחים,mishkan joining poles,group of inanimate objects,,,,,משכן,
משכן הקמה ומשיחה,mishkan standing and annointing,biblical historical event,,,,,משכן,
משכן חנכת,mishkan inauguration,biblical historical event,,,,,משכן,
משכן חצר,mishkan outer area,structure,,,,,משכן,
משכן יריעות ומכסה,mishkan curtains and covering,group of inanimate objects,,,,,משכן,
משכן מסע,mishkan travel,halachic process,,,,,משכן,
משכן מעשה,mishkan design and creation,biblical historical event,,,,,משכן,
משכן נדבת,mishkan donation,biblical historical event,,,,,משכן,
משכן פקודי,mishkan orders,biblical historical event,,,,,משכן,
משכן פרוכת,mishkan sanctuary partition,inanimate object,,,,,משכן,
משכן קרסים,mishkan hooks,group of inanimate objects,,,,,משכן,
משכן קרשים,mishkan blocks/pillars,group of inanimate objects,,,,,משכן,
משכן,mishkan,structure,,,,,,
משל מלך,to rule/lead,knowledge,,,,,,
משל,metaphor/figurative illustration,knowledge,,,,,,
משלח מנות,gifts on Purim,halachic role of inanimate object,,,,,,
משלי,,biblical source,,,,,,
משלשת,three(fold),number,,"רש""י",,,,
משמן,nobleman,role of person,,תרגום יונתן,,,,alt. something rich and fatty
משמר משמרת,guard/charge,process,,,,,,
משנה תורה,,source,,,,,,
משנה,,source,,,,,,
משנים,robust/second,quality,,"רד""ק",,,,
משפח,coerced/joined,quality,,,,,,
משפחה,family,group of people,,,,,,
משפט,trial/law,process,,,,,,
משפתים,border,continuant fiat boundary,,תרגום אונקלוס,,,,
משק בן משק,administrator,occupation,,תרגום אונקלוס,,,,
משק,roar/groan,process,,"רש""י",,,,
משקה,liquid,inanimate object,,,,,,
משקוף,lintel,structure,,,,,,
משקל,weight,material quality,,,,,,
משרת,liquid solution of/attend to,inanimate object,process,,,,,
משתה,party,process,,,,,,
משתולל,absent (of money/sanity),quality,,,,,,
משתין בקיר,learned person,quality,,תרגום יונתן,,,,alt. a pejorative term for anyone/thing that relieves itself on the wall
מת מצוה,abandoned body,halachic role of inanimate object,,,,,,
מת,dead person,quality,,,,,,
מתא מחסיא,,geographic site,,,,,,
מתג האמה,part of goad,inanimate object,,,,,,
מתום,wholeness,quality,,,,,,
מתורגמן,translator,occupation,,,,,,
מתושלח,,biblical person,,,,,,
מתים,population,group of people,,,,,,
מתיקות,sweetness/palatability,quality,,,,,,
מתכונת,sum/design,quality,,,,,,
מתכת,metal,inanimate object,,,,,,
מתן תורה הגבלה,giving of the Torah stationing around the mountain,biblical historical event,,,,,,
מתן תורה,giving of the Torah,biblical historical event,theological tenet,,,,,
מתנה,gift,inanimate object,,,,,,
מתנות כהונה חזה ושוק,kohen gifts: breast and thigh,halachic role of inanimate object,,,,,,
מתנות כהונה,kohen gifts,halachic role,,,,,,
מתנות עניים,gifts to poor,halachic role,,,,,,
מתנים,pelvis,body part,,,,,,
מתתיהו,,mishnaic person,,,,,,
נ,,letter,,,,,,
נא בקשה,please,word,,,,,,
נא חי,raw,material quality,,,,,,
נא אמון,,geographic site,,,,,,
נאדר,great/powerful,quality,,,,,,
נאוה,proper/desirable,quality,,,,,,
נאום,speech/statement,process,,,,,,
נאור,transcendent/destroying,quality,,אבן עזרא,,,,
נאלח,weakened/failed,quality,,,,,,
נאמן,trustworthy/faithful,character trait,,,,,,
נאף,illicit relations,halachic process,,,,,,
נאץ,fight/disgrace,process,,,,,,
נאק נאקה,groaning/screaming,process,,,,,,
נאר,destroy,process,,,,,,
נבו,,geographic site,,,,,,
נבואה,prophecy,theological process,,,,,,
נבוזראדן,,biblical person,,,,,,
נבוכדנאצר,,biblical person,,,,,,
נבול פה,innapropriate speech,halachic process,,,,,,
נבון,sensible person,quality,,,,,,
נבות,,biblical person,,,,,,
נבח,,biblical person,,,,,,
נבט,,biblical person,,,,,,
נביא שקר,false prophet,halachic role of person,,,,,,
נביא,prophet,role of person,,,,,,
נביאים,,biblical source,,,,,,
נבך נבכי,trapped/engulfed,quality,,,,,,alt. waves or depths
נבל אביגיל,,biblical person,,,,,,"not sure why these two names are in one entry but figured just ""biblical person"" was enough"
נבל כנור,lyre/harp,inanimate object,,,,,,
נבל ליין,wineskin,inanimate object,,,,,,
נבל עם נבל,stupid/evil/heretical,character trait,,,,,,
נבל תבול,you will wear out,phrase,,,,,,
נבלה מאכלות אסורות,dead animal (not by kosher slaughter),halachic quality,,,,,,
נבלה,disgraceful act,process,,,,,,
נגב,south,quality,,,,,,
נגד,against/facing/corresponding to,quality,,,,,,
נגה,glow/reflected light,material quality,,,,,,
נגח,gore,process,,,,,,
נגיד,official/nobleman,role of person,,,,,,
נגיעה,touching/conflict of interest,process,,,,,,
נגן נגינה,playing music,musical process,,,,,,
נגע צרעת,lesion of tzaraas,fiat object part,halachic role,,,,,
נגע קרב,approach/encroach,process,,,,,,
נגף מגפה,plague,process,,,,,,
נגש לא יגש,pressure/demand payment,halachic process,,,,,,
נגש,approach,process,,,,,,
נדב ואביהוא,,group of people,,,,,,
נדבה,voluntary offering,role,,,,,,
נדה זבה,nidah/zavah,halachic role of person,,,,,,
נדה מוהר,dowry/payment for relations,role,,,,,,
נדוי,excommunication,halachic process,,,,,,
נדוניה,dowry,halachic role of inanimate object,,,,,,
נדיבות,generosity/goodwill,character trait,,,,,,
נדר,oath,halachic process,,,,,,
נהג,control/lead,process,,,,,,
נהיה,break/deteriorate,process,,,,,,
נהל,guide,process,,,,,,
נהר ונהרו,rush/ingather,process,,,,,,
נהר נחל,river,geographic feature,,,,,,
נהר דינור,river of fire,spiritual site,,,,,,
נהר כבר,,geographic site,,,,,,
נהרדעא,,geographic site,,,,,,
נוב,,geographic site,,,,,,
נוגה,glow/reflected light,material quality,,,,,,
נוגש,commander,role of person,,,,,,
נוד,wandering/skin container,process,inanimate object,,,,,
נוח,nice/convenient,quality,,,,,,
נוטריקון,shorthand/abbreviation (as exegesis),meta halacha,,,,,,
נוכח,directly facing/relating to/in the presence of,preposition,,,,,,
נום,fall asleep,process,,,,,,
נון,,biblical person,,,,,,
נוס,run away,process,,,,,,
נוע,move/tremble,process,,,,,,
נועז,foreign,quality,,"רש""י/אבן עזרא",,,,
נוער,youth,quality,,,,,,
נוף,branch,plant,,"רש""י",,,,
נופת,sweet substance,inanimate object,,,,,,
נוצה,feather,body part,,,,,,
נוצר חסד,He Who upholds kindness,divine role,,,,,,
נוצרים,guards/destroyers,role of person,,,,,,"alt. a refrence to Romans or Christians or ""those who will be plucked"" (Targum)"
נוקד,shepherd,occupation,,,,,,
נורא,The Awesome One ,divine role,,,,,,
נותר,forbidden leftover korban,halachic role of inanimate object,,,,,,
נזיפה,scolding,process,,,,,,
נזיקין,damages,halachic process,,,,,,
נזיר,nazirite,halachic role of person,,,,,,
נזם,ring,inanimate object,,,,,,
נזק,damages,halachic process,,,,,,
נזר,crown/royalty,inanimate object,,,,,,
נח ובניו,Noach and children,group of people,,,,,נח,
נח והתבה,Noach and the ark,biblical historical event,,,,,נח,
נח כרם,Noach and vineyard,biblical historical event,,,,,נח,
נח קרבן,korban of Noach,biblical historical event,,,,,נח,
נח,,biblical person,,,,,,
נחה,lead/guide,process,,,,,,
נחום איש גמזו,,mishnaic person,,,,,,
נחום,,biblical person,,,,,,
נחור,,biblical person,,,,,,
נחוש,superstitious behavior,theurgy,,,,,,
נחל נחלה,inheritance/portion,continuant fiat boundary,,,,,,
נחל קישון,,geographic site,,,,,,
נחם נחמה,comfort,process,,,,,,
נחמד,desirable,quality,,,,,,
נחמיה,,biblical person,,,,,,
נחר,dry out/get hot/neigh,process,,,,,,
נחרפת,,quality,,,,,,
נחרץ,total/absolute,quality,,,,,,
נחש בריח,the long serpent (Leviathan),fish,spiritual entity,,,,,
נחש חטא ועונש,sin and punishment of the serpent,theology,,,,,,
נחש הנחושת,the copper snake,inanimate object,,,,,,
נחש העמוני,,biblical person,,,,,,
נחש מלך בני עמון,,biblical person,,,,,,
נחש,snake/the original serpent,reptile,,,,,,
נחשון,,biblical person,,,,,,
נחת,descend/rest/control,process,,,,,,
נטה,deviate/stretch,process,,,,,,
נטילה,taking,process,,,,,,
נטילת ידים,washing hands,halachic process,,,,,,
נטירה,holding grudge,halachic process,,,,,,
נטישות,battlements/spires/large branches,structure,,,,,,
נטע נטיעה,planting,process,,,,,,
נטף,resin/fragrant oil,inanimate object,,,,,,
נטש,abandon,process,,,,,,
ניאוף,illicit relations,halachic process,,,,,,
ניחוח,fulfilling/pleasing,quality,,,,,,
נילוס,,geographic site,,,,,,
נין,progeny to take over rule,family role,,העמק דבר,,,,"this source incorporates most of the other articulations, but see Radak"
נינוה,,geographic site,,,,,,
ניסן,month of nisan,month,,,,,,
ניקנור,,mishnaic person,,,,,,
נכאת,collection of fragrances,inanimate object,,"רש""י",,,,
נכד,grandchild,family role,,,,,,
נכוחה,proper,quality,,,,,,
נכון,ready/certain,quality,,,,,,
נכח,directly facing/relating to/in the presence of,preposition,,,,,,
נכסים,assets,group of inanimate objects,,,,,,
נכרי קרבן,non-Jew bringing korban,halachic role,,,,,נכרי,
