Book,Chapter,Topic Level 1,Topic Level 2,Topic Level 3,Topic Level 4,Leaf Topic He,Leaf Topic En,Is Aspaklaria Topic,Notes
Zemanim,Leavened and Unleavened Bread 6,Calendar law,Pesach law,,,מצה,Matza,,
Zemanim,Leavened and Unleavened Bread 7,Calendar law,Pesach law,,,סדר ליל פסח,The Seder Night,,
Zemanim,Leavened and Unleavened Bread 8,Calendar law,Pesach law,,,סדר ליל פסח,The Seder Night,,
Zemanim,Leavened and Unleavened Bread 9,Calendar law,Pesach law,,,סדר ליל פסח,The Seder Night,,
Zemanim,"Shofar, Sukkah and Lulav 1",Calendar law,Rosh hashanah law,,,שופר,Shofar,,
Zemanim,"Shofar, Sukkah and Lulav 2",Calendar law,Rosh hashanah law,,,שופר,Shofar,,
Zemanim,"Shofar, Sukkah and Lulav 3",Calendar law,Rosh hashanah law,,,שופר,Shofar,,
Zemanim,"Shofar, Sukkah and Lulav 4",Calendar law,Sukkot law,,,סוכה,Sukkah,,
Zemanim,"Shofar, Sukkah and Lulav 5",Calendar law,Sukkot law,,,סוכה,Sukkah,,
Zemanim,"Shofar, Sukkah and Lulav 6",Calendar law,Sukkot law,,,סוכה,Sukkah,,
Zemanim,"Shofar, Sukkah and Lulav 7",Calendar law,Sukkot law,,,ארבעת המינים,Four Species,,
Zemanim,"Shofar, Sukkah and Lulav 8:1-11",Calendar law,Sukkot law,,,ארבעת המינים,Four Species,,
Zemanim,"Shofar, Sukkah and Lulav 8:12-15",Calendar law,Sukkot law,,,דיני שמחה בסוכות,Laws of Joy on Sukkot,,
Zemanim,Sheqel Dues 1,Worship law,Shekel donation law,,,התרמת שקלים,Shekel-coin Contribution,,Worship law?
Zemanim,Sheqel Dues 2,Worship law,Shekel donation law,,,התרמת שקלים,Shekel-coin Contribution,,
Zemanim,Sheqel Dues 3,Worship law,Shekel donation law,,,התרמת שקלים,Shekel-coin Contribution,,
Zemanim,Sheqel Dues 4,Worship law,Shekel donation law,,,התרמת שקלים,Shekel-coin Contribution,,
Zemanim,Sanctification of the New Month 1,Calendar law,New moon law,,,קביעת החודשים ועיבור השנים,Setting the Hebrew Months and Leap Years,,
Zemanim,Sanctification of the New Month 2,Calendar law,New moon law,,,קביעת החודשים ועיבור השנים,Setting the Hebrew Months and Leap Years,,
Zemanim,Sanctification of the New Month 3,Calendar law,New moon law,,,קביעת החודשים ועיבור השנים,Setting the Hebrew Months and Leap Years,,
Zemanim,Sanctification of the New Month 4,Calendar law,New moon law,,,קביעת החודשים ועיבור השנים,Setting the Hebrew Months and Leap Years,,
Zemanim,Sanctification of the New Month 5,Calendar law,New moon law,,,קביעת החודשים ועיבור השנים,Setting the Hebrew Months and Leap Years,,
Zemanim,Sanctification of the New Month 6,Calendar law,New moon law,,,עקרונות החישוב לקביעת החודשים והשנים,Calculation Principles for Setting the Months and Years,,
Zemanim,Sanctification of the New Month 7,Calendar law,New moon law,,,עקרונות החישוב לקביעת החודשים והשנים,Calculation Principles for Setting the Months and Years,,
Zemanim,Sanctification of the New Month 8,Calendar law,New moon law,,,עקרונות החישוב לקביעת החודשים והשנים,Calculation Principles for Setting the Months and Years,,
Zemanim,Sanctification of the New Month 9,Calendar law,New moon law,,,עקרונות החישוב לקביעת החודשים והשנים,Calculation Principles for Setting the Months and Years,,
Zemanim,Sanctification of the New Month 10,Calendar law,New moon law,,,עקרונות החישוב לקביעת החודשים והשנים,Calculation Principles for Setting the Months and Years,,
Zemanim,Sanctification of the New Month 11,Calendar law,New moon law,,,חישובים לאפשרות ראיית הירח בזמנו,Calculations to Verify the Sighting of the New Moon,,
Zemanim,Sanctification of the New Month 12,Calendar law,New moon law,,,חישובים לאפשרות ראיית הירח בזמנו,Calculations to Verify the Sighting of the New Moon,,
Zemanim,Sanctification of the New Month 13,Calendar law,New moon law,,,חישובים לאפשרות ראיית הירח בזמנו,Calculations to Verify the Sighting of the New Moon,,
Zemanim,Sanctification of the New Month 14,Calendar law,New moon law,,,חישובים לאפשרות ראיית הירח בזמנו,Calculations to Verify the Sighting of the New Moon,,
Zemanim,Sanctification of the New Month 15,Calendar law,New moon law,,,חישובים לאפשרות ראיית הירח בזמנו,Calculations to Verify the Sighting of the New Moon,,
