sefaria_key,bonayich,bonayich_name,comments,Slug
Rabbi Shimon b. Pazzi,2891,שמעון בן פזי,,rabbi-shimon-b-pazzi
Rabbi Shimon b. Rabbi,2896,שמעון בר רבי,,rabbi-shimon-b-rabbi
Shimon b. Shetach,2898,שמעון בן שטח,,shimon-b-shetach
Rabbi Shimon b. Yohai,2830,שמעון (בן יוחאי),,shimon-bar-yochai
Shimon haTzaddik,2908,שמעון הצדיק,,shimon-the-righteous
Shemayah,2924,שמעיה [א],,shemaiah
Rav Sheshet,2938,ששת,,rav-sheshet
Rabbi Tanhuma b. Abba,2993,תנחומא,,rabbi-tanhuma-b-abba
Rabbi Eliezer b. Ya'akov (II),451,אליעזר בן יעקב [ב],,rabbi-eliezer-b-yaakov-(ii)
Tzadok,null,null,,
Boethus,null,null,there is a beit baytut,
Rabbi Dostai b. R' Yannai,859,דוסתאי ברבי ינאי,,rabbi-dostai-b-r-yannai
Rabbi Eliezar Hisma,489,אלעזר חסמא,,rabbi-elazar-hisma
Rabbi Levitas of Yavneh,2050,לויטס איש יבנה,,rabbi-levitas-of-yavneh
Rabbi Nehorai,2231,נהוראי [א],,rabbi-nehorai
Rabbi Mattia b. Heresh,2221,מתיא בן חרש,,rabbi-mattia-b-heresh
Rabbi Yose b. Yehudah of Kefar haBavli,1696,יוסי בר יהודה איש כפר הבבלי,,rabbi-yose-b-yehudah-of-kefar-habavli
Yehudah b. Tema,1494,יהודה בן תימא,,yehudah-b-tema
Ben Bag Bag,1576,(יוחנן) בן בג בג,,yochanan-ben-bag-bag
Rabbi Yose b. Kisma,1726,יוסי בן קיסמא,,rabbi-yose-b-kisma
Nahum haMedi,2250,נחום המדי,,nahum-hamedi
Hananyah b. Hizkiyah b. Garon,1245,חנניה בן חזקיה (בן גרון/גוריון),,hananyah-b-hizkiyah-b-garon
Rabbi Pappeyas,2534,פפייס,,rabbi-pappeyas
Shimon haPaqoli,2907,שמעון הפקולי,,shimon-hapaqoli
Rabbi Yohanan b. Torta,1600,יוחנן בן תורתא,,rabbi-yohanan-b-torta
Pappos b. Yehudah,2531,פפוס בן יהודה,,pappos-b-yehudah
Rabbi Yose b. Dormasqit,1679,יוסי בן דורמסקית,,rabbi-yose-b-dormasqit
Rabbi Eliezar b. Parta,473,אלעזר בן פרטא [א],,rabbi-elazar-b-parta
Rabbi Elazar b. Yehudah of Bartota,443,אלעזר בן יהודה (איש ברתותא),,rabbi-elazar-b-yehudah-of-bartota
Shimon haTimni,2912,שמעון התימני,,shimon-hatimni
Rabbi Shimon haShiqmoni,2911,שמעון השקמוני,,rabbi-shimon-hashiqmoni
Rabbi Hidqa,1060,חדקא,,rabbi-hidqa
Rabbi Yoshiah,1385,יאשיה [א],,rabbi-yoshiah
Abba Hanan,1301,חנין,,abba-hanan
Rabbi Yose b. Yasyan,1693,(יוסי) בן יאסין,,rabbi-yose-b-yasyan
Rabbi Hananyah b. Akabia,1272,חנינא בן עקיבא,,rabbi-hananyah-b-akabia
Issi b. Yehudah,548,איסי בן עקיבא,conflation based on identification on Yoma 52. This isn't law of conservation of *Tannaitic* personalities?,issi-b-yehudah
Rabbi Reuven b. Itztrobeli,2577,ראובן בן איצטרובילי,,rabbi-reuven-b-itztrobeli
Abba Yose b. Dostai,1677,יוסי בן דוסאי,misspelling?,abba-yose-b-dostai
Rabbi Achai b. Yoshiah,256,אחא [א],,rabbi-achai-b-yoshiah
Rabbi Ya'akov b. Qorshai,1831,יעקב [א] (בן קרשי),,rabbi-yaakov-b-qorshai
Rabbi Yitzhak,1884,יצחק [א],,rabbi-yitzhak
Rabbi Dosa,850,דוסא,"likely human error in Sefaria here, copying the T6 from the next entry, Dostai ben Yehuda. The correspondence is to an A3 rather than a T6.",rabbi-dosa
Rabbi Dostai b. Yehuda,858,דוסתאי בן יהודה,,rabbi-dostai-b-yehuda
Rabbi Yose b. Kippar,1710,יוסי בן כיפר,,rabbi-yose-b-kippar
Rabbi Menahem b. R' Yose,2111,מנחם (ברבי יוסי),,rabbi-menahem-b-r-yose
Rabbi Yose b. haMeshullam,1683,יוסי בן המשולם,,rabbi-yose-b-hameshullam
Rabbi Shimon b. R' Yose b. Laqonya,2870,שמעון ברבי יוסי בן לקוניא,,rabbi-shimon-b-r-yose-b-laqonya
Rabbi Banna'ah,687,בנאה,,rabbi-bannaah
Shimon b. Netanel,2887,שמעון בן נתנאל,,shimon-b-netanel
Rabbi Halafta of Kefar Hanania,1153,חלפתא איש כפר חנניה,,rabbi-halafta-of-kefar-hanania
#rabbi-hanina,1211,חנינא [א],,
Rav Aha brei d' R' Iqa,270,אחא בריה דרב איקא,,rav-aha-b-rav-iqa
Rav Yitzhak b. Yosef,1915,יצחק בר יוסף,,rav-yitzhak-b-yosef
Rabbi Yehudah b. Ro'etz,1484,יהודה בן רועץ,,
Rami b. Abba,2676,רמי בר אבא [א],,rami-b-abba
Yohanan b. Dahavai,1580,יוחנן בן דהבאי,,yohanan-b-dahavai
Onkelos,2472,עקילס הגר,,onkelos
Beit Shamai,2756,בית שמאי,,beit-shammai
Beit Hillel,963,בית שמאי,,beit-hillel
