book type,tractate,chapter,halakha,image start,image end,manuscript,im run,file name,library,description,extended description,manuscript id,library id
תוספתא,ברכות,ה,יא,ברכות ה:ב,ברכות ה:כג ,Or. fol. 1220,12,..\MnuImages\N1484\w\0011.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ה,יב,ברכות ה:ב,ברכות ה:כג ,Or. fol. 1220,12,..\MnuImages\N1484\w\0011.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ה,יג,ברכות ה:ב,ברכות ה:כג ,Or. fol. 1220,12,..\MnuImages\N1484\w\0011.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ה,יד,ברכות ה:ב,ברכות ה:כג ,Or. fol. 1220,12,..\MnuImages\N1484\w\0011.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ה,טו,ברכות ה:ב,ברכות ה:כג ,Or. fol. 1220,12,..\MnuImages\N1484\w\0011.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ה,טז,ברכות ה:ב,ברכות ה:כג ,Or. fol. 1220,12,..\MnuImages\N1484\w\0011.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ה,יז,ברכות ה:ב,ברכות ה:כג ,Or. fol. 1220,12,..\MnuImages\N1484\w\0011.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ה,יח,ברכות ה:ב,ברכות ה:כג ,Or. fol. 1220,12,..\MnuImages\N1484\w\0011.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ה,יט,ברכות ה:ב,ברכות ה:כג ,Or. fol. 1220,12,..\MnuImages\N1484\w\0011.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ה,כ,ברכות ה:ב,ברכות ה:כג ,Or. fol. 1220,12,..\MnuImages\N1484\w\0011.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ה,כא,ברכות ה:ב,ברכות ה:כג ,Or. fol. 1220,12,..\MnuImages\N1484\w\0011.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ה,כב,ברכות ה:ב,ברכות ה:כג ,Or. fol. 1220,12,..\MnuImages\N1484\w\0011.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ה,כג,ברכות ה:ב,ברכות ה:כג ,Or. fol. 1220,12,..\MnuImages\N1484\w\0011.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ה,כג,ברכות ה:כג,ברכות ו:ז ,Or. fol. 1220,13,..\MnuImages\N1484\w\0012.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ה,כד,ברכות ה:כג,ברכות ו:ז ,Or. fol. 1220,13,..\MnuImages\N1484\w\0012.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ו,א,ברכות ה:כג,ברכות ו:ז ,Or. fol. 1220,13,..\MnuImages\N1484\w\0012.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ו,ב,ברכות ה:כג,ברכות ו:ז ,Or. fol. 1220,13,..\MnuImages\N1484\w\0012.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ו,ג,ברכות ה:כג,ברכות ו:ז ,Or. fol. 1220,13,..\MnuImages\N1484\w\0012.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ו,ד,ברכות ה:כג,ברכות ו:ז ,Or. fol. 1220,13,..\MnuImages\N1484\w\0012.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ו,ה,ברכות ה:כג,ברכות ו:ז ,Or. fol. 1220,13,..\MnuImages\N1484\w\0012.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ו,ו,ברכות ה:כג,ברכות ו:ז ,Or. fol. 1220,13,..\MnuImages\N1484\w\0012.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ו,ז,ברכות ה:כג,ברכות ו:ז ,Or. fol. 1220,13,..\MnuImages\N1484\w\0012.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ו,ז,ברכות ו:ז,ברכות ז:ו ,Or. fol. 1220,14,..\MnuImages\N1484\w\0013.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ו,ח,ברכות ו:ז,ברכות ז:ו ,Or. fol. 1220,14,..\MnuImages\N1484\w\0013.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ז,א,ברכות ו:ז,ברכות ז:ו ,Or. fol. 1220,14,..\MnuImages\N1484\w\0013.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ז,ב,ברכות ו:ז,ברכות ז:ו ,Or. fol. 1220,14,..\MnuImages\N1484\w\0013.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ז,ג,ברכות ו:ז,ברכות ז:ו ,Or. fol. 1220,14,..\MnuImages\N1484\w\0013.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ז,ד,ברכות ו:ז,ברכות ז:ו ,Or. fol. 1220,14,..\MnuImages\N1484\w\0013.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
