Talmud		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	Comments	Talmud	Rambam	SMG	ShuA	Tur
daf.line	EM #	Book	chapter.halacha	Volume	mitzvah	Volume	siman.seif	Volume	siman.seif											
3b:23		נזקי ממון	14.16	עשין	67	ח"מ	418.1	ח"מ	418	http://www.sefaria.org/Bava_Kamma.3b:23	sefaria.org/Mishneh_Torah,_Damages_to_Property.14.16	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.67	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.418.1	sefaria.org/Tur,_Choshen_Mishpat.418		Bava_Kamma.3b:23	Mishneh_Torah,_Damages_to_Property.14.16	Sefer_Mitzvot_Gadol,_Volume_Two.67	Shulchan_Arukh,_Choshen_Mishpat.418.1	Tur,_Choshen_Mishpat.418
3b:23				עשין	68				0	http://www.sefaria.org/Bava_Kamma.3b:23		sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.68				Bava_Kamma.3b:23		Sefer_Mitzvot_Gadol,_Volume_Two.68		
3b:26		נזקי ממון	2.2	עשין	68	ח"מ	389.18	ח"מ	389	http://www.sefaria.org/Bava_Kamma.3b:26	sefaria.org/Mishneh_Torah,_Damages_to_Property.2.2	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.68	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.389.18	sefaria.org/Tur,_Choshen_Mishpat.389		Bava_Kamma.3b:26	Mishneh_Torah,_Damages_to_Property.2.2	Sefer_Mitzvot_Gadol,_Volume_Two.68	Shulchan_Arukh,_Choshen_Mishpat.389.18	Tur,_Choshen_Mishpat.389
3b:26						ח"מ	390.3	ח"מ	390	http://www.sefaria.org/Bava_Kamma.3b:26			sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.390.3	sefaria.org/Tur,_Choshen_Mishpat.390		Bava_Kamma.3b:26			Shulchan_Arukh,_Choshen_Mishpat.390.3	Tur,_Choshen_Mishpat.390
3b:27		נזקי ממון	2.2	עשין	68	ח"מ	390.3	ח"מ	390	http://www.sefaria.org/Bava_Kamma.3b:27	sefaria.org/Mishneh_Torah,_Damages_to_Property.2.2	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.68	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.390.3	sefaria.org/Tur,_Choshen_Mishpat.390		Bava_Kamma.3b:27	Mishneh_Torah,_Damages_to_Property.2.2	Sefer_Mitzvot_Gadol,_Volume_Two.68	Shulchan_Arukh,_Choshen_Mishpat.390.3	Tur,_Choshen_Mishpat.390
3b:33		נזקי ממון	2.2	עשין	68	ח"מ	390.3	ח"מ	390	http://www.sefaria.org/Bava_Kamma.3b:33	sefaria.org/Mishneh_Torah,_Damages_to_Property.2.2	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.68	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.390.3	sefaria.org/Tur,_Choshen_Mishpat.390		Bava_Kamma.3b:33	Mishneh_Torah,_Damages_to_Property.2.2	Sefer_Mitzvot_Gadol,_Volume_Two.68	Shulchan_Arukh,_Choshen_Mishpat.390.3	Tur,_Choshen_Mishpat.390
3b:33		נזקי ממון	1.11						0	http://www.sefaria.org/Bava_Kamma.3b:33	sefaria.org/Mishneh_Torah,_Damages_to_Property.1.11					Bava_Kamma.3b:33	Mishneh_Torah,_Damages_to_Property.1.11			
4a:5		גניבה	1.9	עשין	155	ח"מ	349.4	ח"מ	349	http://www.sefaria.org/Bava_Kamma.4a:5	sefaria.org/Mishneh_Torah,_Theft.1.9	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.155	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.349.4	sefaria.org/Tur,_Choshen_Mishpat.349		Bava_Kamma.4a:5	Mishneh_Torah,_Theft.1.9	Sefer_Mitzvot_Gadol,_Volume_Two.155	Shulchan_Arukh,_Choshen_Mishpat.349.4	Tur,_Choshen_Mishpat.349
4a:8		גניבה	1.9						0	http://www.sefaria.org/Bava_Kamma.4a:8	sefaria.org/Mishneh_Torah,_Theft.1.9					Bava_Kamma.4a:8	Mishneh_Torah,_Theft.1.9			
5a:3		עדות	18.8	עשין	110	ח"מ	38	ח"מ	38	http://www.sefaria.org/Bava_Kamma.5a:3	sefaria.org/Mishneh_Torah,_Testimony.18.8	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.110	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.38	sefaria.org/Tur,_Choshen_Mishpat.38		Bava_Kamma.5a:3	Mishneh_Torah,_Testimony.18.8	Sefer_Mitzvot_Gadol,_Volume_Two.110	Shulchan_Arukh,_Choshen_Mishpat.38	Tur,_Choshen_Mishpat.38
5a:20		חובל ומזיק	7.1	עשין	70	ח"מ	385.1	ח"מ	385	http://www.sefaria.org/Bava_Kamma.5a:20	sefaria.org/Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.7.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.70	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.385.1	sefaria.org/Tur,_Choshen_Mishpat.385		Bava_Kamma.5a:20	Mishneh_Torah,_One_Who_Injures_a_Person_or_Property.7.1	Sefer_Mitzvot_Gadol,_Volume_Two.70	Shulchan_Arukh,_Choshen_Mishpat.385.1	Tur,_Choshen_Mishpat.385
5b:3		נזקי ממון	2.1	עשין	68	ח"מ	389.6	ח"מ	389	http://www.sefaria.org/Bava_Kamma.5b:3	sefaria.org/Mishneh_Torah,_Damages_to_Property.2.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.68	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.389.6	sefaria.org/Tur,_Choshen_Mishpat.389		Bava_Kamma.5b:3	Mishneh_Torah,_Damages_to_Property.2.1	Sefer_Mitzvot_Gadol,_Volume_Two.68	Shulchan_Arukh,_Choshen_Mishpat.389.6	Tur,_Choshen_Mishpat.389
