item,itemLabel,present_in_work,present_in_workLabel
http://www.wikidata.org/entity/Q313229,Jehoash of Judah,http://www.wikidata.org/entity/Q209746,2 Kings
http://www.wikidata.org/entity/Q313230,Zimri,http://www.wikidata.org/entity/Q17997448,1 Kings 16
http://www.wikidata.org/entity/Q313237,Amaziah of Judah,http://www.wikidata.org/entity/Q209720,2 Chronicles
http://www.wikidata.org/entity/Q313237,Amaziah of Judah,http://www.wikidata.org/entity/Q209746,2 Kings
http://www.wikidata.org/entity/Q313238,Ish-bosheth,http://www.wikidata.org/entity/Q209719,2 Samuel
http://www.wikidata.org/entity/Q313415,Asa of Judah,http://www.wikidata.org/entity/Q209720,2 Chronicles
http://www.wikidata.org/entity/Q313415,Asa of Judah,http://www.wikidata.org/entity/Q17997448,1 Kings 16
http://www.wikidata.org/entity/Q313417,Barabbas,http://www.wikidata.org/entity/Q36766,Gospel of John
http://www.wikidata.org/entity/Q313417,Barabbas,http://www.wikidata.org/entity/Q39939,Gospel of Luke
http://www.wikidata.org/entity/Q313417,Barabbas,http://www.wikidata.org/entity/Q107388,Gospel of Mark
http://www.wikidata.org/entity/Q313417,Barabbas,http://www.wikidata.org/entity/Q392302,Gospel of Matthew
http://www.wikidata.org/entity/Q313421,Abel,http://www.wikidata.org/entity/Q12490446,Genesis 4
http://www.wikidata.org/entity/Q319020,Elah,http://www.wikidata.org/entity/Q17997448,1 Kings 16
http://www.wikidata.org/entity/Q319034,Jehoiakim,http://www.wikidata.org/entity/Q131590,Jeremiah
http://www.wikidata.org/entity/Q319034,Jehoiakim,http://www.wikidata.org/entity/Q209720,2 Chronicles
http://www.wikidata.org/entity/Q319034,Jehoiakim,http://www.wikidata.org/entity/Q209746,2 Kings
http://www.wikidata.org/entity/Q319049,Jeconiah,http://www.wikidata.org/entity/Q209720,2 Chronicles
http://www.wikidata.org/entity/Q319049,Jeconiah,http://www.wikidata.org/entity/Q209746,2 Kings
http://www.wikidata.org/entity/Q319116,Nathan,http://www.wikidata.org/entity/Q131066,1 Kings
http://www.wikidata.org/entity/Q319116,Nathan,http://www.wikidata.org/entity/Q209719,2 Samuel
http://www.wikidata.org/entity/Q319116,Nathan,http://www.wikidata.org/entity/Q209720,2 Chronicles
http://www.wikidata.org/entity/Q319116,Nathan,http://www.wikidata.org/entity/Q9813916,1 Chronicles
http://www.wikidata.org/entity/Q320139,Zerubbabel,http://www.wikidata.org/entity/Q39939,Gospel of Luke
http://www.wikidata.org/entity/Q320139,Zerubbabel,http://www.wikidata.org/entity/Q131635,Ezra
http://www.wikidata.org/entity/Q320139,Zerubbabel,http://www.wikidata.org/entity/Q131640,Nehemiah
http://www.wikidata.org/entity/Q320139,Zerubbabel,http://www.wikidata.org/entity/Q155980,Sirach
http://www.wikidata.org/entity/Q320139,Zerubbabel,http://www.wikidata.org/entity/Q178338,Book of Haggai
http://www.wikidata.org/entity/Q320139,Zerubbabel,http://www.wikidata.org/entity/Q179769,Zechariah
http://www.wikidata.org/entity/Q320139,Zerubbabel,http://www.wikidata.org/entity/Q392302,Gospel of Matthew
http://www.wikidata.org/entity/Q320139,Zerubbabel,http://www.wikidata.org/entity/Q2919446,Apocalypse of Zerubbabel
http://www.wikidata.org/entity/Q320139,Zerubbabel,http://www.wikidata.org/entity/Q9813916,1 Chronicles
http://www.wikidata.org/entity/Q321166,Abihu,http://www.wikidata.org/entity/Q9190,Exodus
http://www.wikidata.org/entity/Q321170,Abihud,http://www.wikidata.org/entity/Q392302,Gospel of Matthew
http://www.wikidata.org/entity/Q321469,Abishag,http://www.wikidata.org/entity/Q131066,1 Kings
http://www.wikidata.org/entity/Q321804,Abiathar,http://www.wikidata.org/entity/Q131066,1 Kings
http://www.wikidata.org/entity/Q321804,Abiathar,http://www.wikidata.org/entity/Q209719,2 Samuel
http://www.wikidata.org/entity/Q321804,Abiathar,http://www.wikidata.org/entity/Q1975029,1 Samuel
http://www.wikidata.org/entity/Q325476,Jaïrus,http://www.wikidata.org/entity/Q39939,Gospel of Luke
http://www.wikidata.org/entity/Q325476,Jaïrus,http://www.wikidata.org/entity/Q107388,Gospel of Mark
http://www.wikidata.org/entity/Q325476,Jaïrus,http://www.wikidata.org/entity/Q392302,Gospel of Matthew
http://www.wikidata.org/entity/Q328739,Simon of Cyrene,http://www.wikidata.org/entity/Q6766412,Mark 15
http://www.wikidata.org/entity/Q328739,Simon of Cyrene,http://www.wikidata.org/entity/Q6789872,Matthew 27
http://www.wikidata.org/entity/Q328739,Simon of Cyrene,http://www.wikidata.org/entity/Q16160796,Luke 23
http://www.wikidata.org/entity/Q336832,Jehoahaz of Judah,http://www.wikidata.org/entity/Q209720,2 Chronicles
http://www.wikidata.org/entity/Q336832,Jehoahaz of Judah,http://www.wikidata.org/entity/Q209746,2 Kings
http://www.wikidata.org/entity/Q345205,Simeon,http://www.wikidata.org/entity/Q152771,Presentation of Jesus at the Temple
http://www.wikidata.org/entity/Q345205,Simeon,http://www.wikidata.org/entity/Q9183493,Luke 2
http://www.wikidata.org/entity/Q360378,Adonijah,http://www.wikidata.org/entity/Q131066,1 Kings
http://www.wikidata.org/entity/Q360378,Adonijah,http://www.wikidata.org/entity/Q209719,2 Samuel
http://www.wikidata.org/entity/Q360378,Adonijah,http://www.wikidata.org/entity/Q9813916,1 Chronicles
http://www.wikidata.org/entity/Q361636,Amnon,http://www.wikidata.org/entity/Q209719,2 Samuel
http://www.wikidata.org/entity/Q361636,Amnon,http://www.wikidata.org/entity/Q9813916,1 Chronicles
http://www.wikidata.org/entity/Q362021,Eli,http://www.wikidata.org/entity/Q181620,Books of Samuel
http://www.wikidata.org/entity/Q363660,Elimelek,http://www.wikidata.org/entity/Q80038,Ruth
http://www.wikidata.org/entity/Q372091,Amalek,http://www.wikidata.org/entity/Q9184,Book of Genesis
http://www.wikidata.org/entity/Q390086,Agag,http://www.wikidata.org/entity/Q1975029,1 Samuel
http://www.wikidata.org/entity/Q398663,Agur,http://www.wikidata.org/entity/Q4579,Proverbs
