refs_before,vectors,accurated,changed
"{'JTmock Peah 1:1:15', 'Sukkah 11b'}","{'Shabbat 133b:10', 'Shabbat 133b:15', 'Shabbat 133b:16', 'Shabbat 133b:4', 'Shabbat 133b:2', 'Exodus 15.2', 'Shabbat 133b:5', 'Shabbat 133b:12', 'Shabbat 133b:13', 'Shabbat 133b:6', 'Shabbat 133b:18', 'Shabbat 133b:17', 'Shabbat 133b:1', 'Shabbat 133b:9', 'Nazir 2b:3', 'Shabbat 133b:11', 'Shabbat 133b:14', 'Shabbat 133b.7', 'Shabbat 133b:8', 'Shabbat 133b:3'}",set(),True
"{'JTmock Peah 1:1:15', 'Nazir 2b'}","{'Shabbat 133b:5', 'Exodus 15.2', 'Sukkah 11b:13'}","{('JTmock Peah 1:1:15', 'Nazir 2b:8'), ('JTmock Peah 1:1:15', 'Nazir 2b:3')}",False
"{'Bava Batra 11a', 'JTmock Peah 1:1:19'}","{'Psalms 89.15', 'Tosefta Peah (Lieberman) 4.18', 'Proverbs 11.30', 'Deuteronomy 24:13'}","{('JTmock Peah 1:1:19', 'Bava Batra 11a:3'), ('JTmock Peah 1:1:19', 'Bava Batra 11a:4')}",False
"{'Sukkah 49b', 'JTmock Peah 1:1:20'}",{'Psalms 103.17'},set(),True
"{'JTmock Peah 1:1:21', 'Menachot 99b'}",{'Joshua 1.8'},set(),True
"{'JTmock Peah 1:1:22', 'Kiddushin 31a'}","{'JTmock Kiddushin 1.7.6', 'Avodah Zarah 23b:11'}",set(),True
"{'JTmock Peah 1:1:22', 'Avodah Zarah 23b'}","{'Kiddushin 31a:8', 'JTmock Kiddushin 1.7.6'}",set(),True
"{'Kiddushin 30b', 'JTmock Peah 1:1:27'}","{'Leviticus 19.3', 'Exodus 21.17', 'Leviticus 24.15', 'Deuteronomy 6.13', 'Exodus 20.11', 'Proverbs 3:9'}","{('JTmock Peah 1:1:27', 'Kiddushin 30b:19'), ('JTmock Peah 1:1:27', 'Kiddushin 30b:20'), ('JTmock Peah 1:1:27', 'Kiddushin 30b:18')}",False
"{'JTmock Peah 1:1:27', 'Bava Metzia 32a'}","{'Proverbs 3:9', 'Leviticus 19.3', 'Exodus 20.11'}","{('JTmock Peah 1:1:27', 'Bava Metzia 32a:14'), ('JTmock Peah 1:1:27', 'Bava Metzia 32a:16')}",False
"{'JTmock Peah 1:1:31', 'Midrash Tanchuma, Eikev 2'}","{'Deuteronomy 22.7', 'Proverbs 30:17', 'JTmock Kiddushin 1.7.14', 'Proverbs 5.6'}","{('JTmock Peah 1:1:31', 'Midrash Tanchuma, Eikev 2:1'), ('JTmock Peah 1:1:31-32', 'Midrash Tanchuma, Eikev 2:1')}",False
"{'JTmock Peah 1:1:34', 'Midrash Tanchuma, Chukat 22'}",{'Psalms 34.15'},set(),True
"{'JTmock Peah 1:1:34', 'Yevamot 109a'}",{'Psalms 34.15'},set(),True
"{'JTmock Peah 1:1:34', 'Kiddushin 40a'}","{'Psalms 34.15', 'Proverbs 21.21'}","{('JTmock Peah 1:1:34', 'Kiddushin 40a:6'), ('JTmock Peah 1:1:34', 'Kiddushin 40a:5')}",False
"{'JTmock Peah 1:1:34', ""Avot D'Rabbi Natan 12""}",{'Psalms 34.15'},set(),True
"{'Moed Katan 9b', 'JTmock Peah 1:1:35'}","{'Proverbs 8:11', 'Proverbs 3.15'}",set(),True
"{'JTmock Peah 1:1:38', 'Arakhin 15b'}","{'Genesis 39:9', 'Psalms 12.4', 'Exodus 32:31', 'Genesis 4:13'}","{('JTmock Peah 1:1:38', 'Arakhin 15b:4'), ('JTmock Peah 1:1:38', 'Arakhin 15b:20'), ('JTmock Peah 1:1:38', 'Arakhin 15b:19')}",False
"{'JTmock Peah 1:1:39', 'Midrash Tanchuma Buber, Vayeshev 6'}",{'Genesis 37.2'},set(),True
"{'JTmock Peah 1:1:39', 'Midrash Tanchuma, Vayeshev 7'}",{'Genesis 37.31'},set(),True
"{'JTmock Peah 1:1:39', 'Pirkei DeRabbi Eliezer 38'}",{'Genesis 37.2'},set(),True
"{'JTmock Peah 1:1:40', 'Kohelet Rabbah 9:12'}","{'Psalms 12:5', 'Psalms 50.22', 'Psalms 73.9'}",set(),True
"{'Ketubot 46a', 'JTmock Peah 1:1:41'}",{'Leviticus 19.16'},set(),True
"{'Bereishit Rabbah 48', 'JTmock Peah 1:1:41-42'}",{'Vayikra Rabbah 9.9'},set(),True
"{'Midrash Tanchuma Buber, Tzav 10', 'JTmock Peah 1:1:42'}","{'Genesis 50:16', 'Genesis 18.12'}",set(),True
"{'JTmock Peah 1:1:42', 'Midrash Tanchuma, Toldot 1'}",{'Genesis 50:16'},set(),True
"{'Midrash Tanchuma, Tzav 7', 'JTmock Peah 1:1:42'}","{'Genesis 50:16', 'Genesis 18.12', 'Genesis 18.13'}",set(),True
"{'Midrash Tanchuma, Shoftim 18', 'JTmock Peah 1:1:42'}","{'Genesis 18.12', 'Genesis 18.13'}",set(),True
"{'Yevamot 65b', 'JTmock Peah 1:1:42'}","{'Genesis 50:16', 'Bava Metzia 87a.11', 'Genesis 18.12', 'Genesis 18.13'}","{('JTmock Peah 1:1:41-42', 'Yevamot 65b:9'), ('JTmock Peah 1:1:42', 'Yevamot 65b:9'), ('JTmock Peah 1:1:42', 'Yevamot 65b:7')}",False
"{'Bava Metzia 87a', 'JTmock Peah 1:1:41-42'}","{'Yevamot 65b:9', 'Genesis 18.12', 'Genesis 18.13'}","{('JTmock Peah 1:1:42', 'Bava Metzia 87a:11'), ('JTmock Peah 1:1:42', 'Bava Metzia 87a:9')}",False
"{'JTmock Peah 1:1:45-46', 'Midrash Tanchuma, Chukat 4'}","{'Bamidbar Rabbah 19.2', 'Devarim Rabbah 5.10'}",set(),True
"{'Midrash Tanchuma Buber, Chukat 7', 'JTmock Peah 1:1:45-46'}","{'Psalms 57:5', 'I Samuel 23.11', 'I Kings 18:13', 'Psalms 54.2'}",set(),True
"{'JTmock Peah 1:1:47', 'Midrash Tanchuma, Chukat 4'}","{'I Samuel 26.14', 'Bamidbar Rabbah 19.2', 'Devarim Rabbah 5.10', 'Vayikra Rabbah 26.2', 'I Samuel 24:11', 'II Samuel 3.12', 'I Samuel 26.11', 'II Samuel 2:14'}",set(),True
"{'JTmock Peah 1:1:47', 'Pirkei DeRabbi Eliezer 53'}","{'Arakhin 15b:17', 'Arakhin 15b:19', 'Arakhin 15b:7', 'Arakhin 15b:2', 'Arakhin 15b:10', 'Arakhin 15b:6', 'Arakhin 15b.16', 'Arakhin 15b:18', 'Arakhin 15b:8', 'Arakhin 15b:4', 'Arakhin 15b:23', 'Arakhin 15b:14', 'Arakhin 15b:9', 'Arakhin 15b:26', 'Arakhin 15b:3', 'Arakhin 15b:21', 'Arakhin 15b:24', 'Arakhin 15b:12', 'Arakhin 15b:27', 'Arakhin 15b:5', 'Arakhin 15b:22', 'Arakhin 15b:13', 'Arakhin 15b:25', 'Arakhin 15b:1', 'Arakhin 15b:11', 'Arakhin 15b:20', 'Arakhin 15b:15'}",set(),True
"{'JTmock Peah 1:1:47', 'Midrash Tanchuma, Masei 12'}","{'II Samuel 3.12', 'II Samuel 2:14'}",set(),True
"{'Kohelet Rabbah 10:11', 'JTmock Peah 1:1:49'}",{'Ecclesiastes 10.11'},set(),True
"{'JTmock Peah 1:1:52', 'Midrash Tanchuma Buber, Vayetzei 22'}",{'Ezekiel 33.19'},set(),True
"{'JTmock Peah 1:1:52', 'Yoma 86b'}",{'Ezekiel 33.19'},set(),True
"{'JTmock Peah 1:1:55', 'Rosh Hashanah 17a'}","{'Exodus 34.6', 'JTmock Kiddushin 1.9.3'}","{('JTmock Peah 1:1:55', 'Rosh Hashanah 17a:7'), ('JTmock Peah 1:1:55', 'Rosh Hashanah 17a:1-2')}",False
"{'Arakhin 8b', 'JTmock Peah 1:1:55'}",{'Exodus 34.6'},set(),True
"{'Midrash Tanchuma Buber, Vayeshev 14', 'JTmock Peah 1:1:56'}",{'I Samuel 2:9'},set(),True
"{'Yoma 38b', 'JTmock Peah 1:1:56'}","{'Proverbs 3.34', 'I Samuel 2:9'}","{('JTmock Peah 1:1:56', 'Yoma 38b:15'), ('JTmock Peah 1:1:56', 'Yoma 38b:16')}",False
"{'JTmock Peah 1:4:2', 'Chullin 137a'}",{'Leviticus 19.9'},set(),True
"{'Chullin 131a', 'JTmock Peah 1:4:4'}","{'Deuteronomy 24.21', 'Deuteronomy 24.20'}","{('JTmock Peah 1:4:4', 'Chullin 131a:16'), ('JTmock Peah 1:4:4', 'Chullin 131a:15')}",False
"{'JTmock Peah 1:5:4', 'Sifrei Devarim 105'}","{'Deuteronomy 14.22', 'Bava Metzia 88a.9'}","{('JTmock Peah 1:5:4', 'Sifrei Devarim 105:19'), ('JTmock Peah 1:5:4', 'Sifrei Devarim 105:1')}",False
"{'JTmock Peah 1:5:4', 'Bava Metzia 88a'}",{'Sifrei Devarim 105:19'},set(),True
"{'Menachot 71b', 'JTmock Peah 2:1:10'}",{'Mishnah Peah 2.1'},set(),True
"{'Gittin 60b', 'JTmock Peah 2:4:3-5'}",{'Hosea 8.12'},set(),True
"{'Kohelet Rabbah 5:8', 'JTmock Peah 2:4:7'}",{'JTmock Megillah 4:1:5'},set(),True
"{'Midrash Tanchuma, Ki Tisa 34', 'JTmock Peah 2:4:7'}","{'JTmock Megillah 4:1:5', 'Exodus 34:27', 'JTmock Chagigah 1.8.11'}",set(),True
"{'JTmock Peah 2:4:9', 'Megillah 19b'}",{'Deuteronomy 9.10'},set(),True
"{'Kohelet Rabbah 6:2', 'JTmock Peah 2:4:10'}",{'JTmock Horayot 3:5:12'},set(),True
"{'JTmock Peah 3:7:4-5', 'Pesachim 8b'}",{'Exodus 34.24'},set(),True
"{'JTmock Peah 3:7:5', 'Sifrei Devarim 52'}",{'Exodus 34.24'},set(),True
"{'JTmock Peah 3:7:6', 'Kiddushin 26a'}","{'II Chronicles 21.3', 'Bava Kamma 12a.10', 'JTmock Kiddushin 1.5.9'}","{('JTmock Peah 3:7:6', 'Kiddushin 26a:2'), ('JTmock Peah 3:7:6', 'Kiddushin 26a:13')}",False
"{'Bava Kamma 12a', 'JTmock Peah 3:7:6'}","{'II Chronicles 21.3', 'Kiddushin 26a:2'}",set(),True
"{'JTmock Peah 3:7:6', 'Bava Batra 156b'}","{'Tosefta Bava Batra (Lieberman) 10.12', 'JTmock Kiddushin 1.5.9'}",set(),True
"{'Bava Metzia 19a', 'JTmock Peah 3:7:14-16'}","{'Tosefta Bava Batra (Lieberman) 8.10', 'Bava Batra 135b:5', 'Bava Batra 135b:6'}","{('JTmock Peah 3:7:14', 'Bava Metzia 19a:3'), ('JTmock Peah 3:7:14-16', 'Bava Metzia 19a:14-15'), ('JTmock Peah 3:7:14-16', 'Bava Metzia 19a:14')}",False
"{'Bava Batra 135b', 'JTmock Peah 3:7:14-16'}","{'Tosefta Bava Batra (Lieberman) 8.10', 'Bava Metzia 19a:15', 'Bava Metzia 19a:14'}","{('JTmock Peah 3:7:14', 'Bava Batra 135b:5'), ('JTmock Peah 3:7:14-16', 'Bava Batra 135b:5'), ('JTmock Peah 3:7:14-16', 'Bava Batra 135b:5-6')}",False
"{'Bava Metzia 19a', 'JTmock Peah 3:7:14-16'}","{'Bava Batra 135b:5', 'Bava Batra 135b:6'}","{('JTmock Peah 3:7:14-16', 'Bava Metzia 19a:14-15'), ('JTmock Peah 3:7:14-16', 'Bava Metzia 19a:14')}",False
"{'Bava Batra 135b', 'JTmock Peah 3:7:14-16'}","{'Bava Metzia 19a:15', 'Bava Metzia 19a:14'}","{('JTmock Peah 3:7:14-16', 'Bava Batra 135b:5'), ('JTmock Peah 3:7:14-16', 'Bava Batra 135b:5-6')}",False
"{'Bava Metzia 19a', 'JTmock Peah 3:7:14-16'}","{'Bava Batra 135b:5', 'Bava Batra 135b:6'}","{('JTmock Peah 3:7:14-16', 'Bava Metzia 19a:14-15'), ('JTmock Peah 3:7:14-16', 'Bava Metzia 19a:14')}",False
"{'Bava Batra 135b', 'JTmock Peah 3:7:14-16'}","{'Bava Metzia 19a:15', 'Bava Metzia 19a:14'}","{('JTmock Peah 3:7:14-16', 'Bava Batra 135b:5'), ('JTmock Peah 3:7:14-16', 'Bava Batra 135b:5-6')}",False
"{'JTmock Peah 4:2:6', 'Bava Metzia 10a'}",{'Mishnah Bava Metzia 1.4'},set(),True
"{'Shabbat 23a', 'JTmock Peah 4:3:6'}","{'Leviticus 19.9', 'Tosefta Peah (Lieberman) 1.6'}","{('JTmock Peah 4:3:6', 'Shabbat 23a:11'), ('JTmock Peah 4:3:6', 'Shabbat 23a:8')}",False
"{'JTmock Peah 4:5:3', 'Chullin 136a'}",{'Tosefta Maasrot (Lieberman) 3.14'},set(),True
"{'JTmock Peah 4:6:6', 'Gittin 11b'}","{'Gittin 62b:1', 'Mishnah Gittin 1.6'}","{('JTmock Peah 4:6:6', 'Gittin 11b:6'), ('JTmock Peah 4:6:6', 'Gittin 11b:6-9')}",False
"{'JTmock Peah 4:6:6', 'Gittin 62b'}","{'Mishnah Gittin 6.1', 'Gittin 11b:6'}","{('JTmock Peah 4:6:6', 'Gittin 62b:1'), ('JTmock Peah 4:6:6', 'Gittin 62b:1-3')}",False
"{'JTmock Peah 5:1:3', 'Yevamot 89b'}","{'Ezra 10.8', 'Gittin 36b:5', 'Gittin 36b:3', 'Gittin 36b:4'}","{('JTmock Peah 5:1:3', 'Yevamot 89b:11'), ('JTmock Peah 5:1:3', 'Yevamot 89b:10-13')}",False
"{'Gittin 36b', 'JTmock Peah 5:1:3'}","{'Yevamot 89b:13', 'Yevamot 89b:10', 'Yevamot 89b:11', 'Ezra 10.8', 'Yevamot 89b:12'}","{('JTmock Peah 5:1:3', 'Gittin 36b:3-5'), ('JTmock Peah 5:1:3', 'Gittin 36b:3')}",False
"{'Sanhedrin 12a', 'JTmock Peah 5:1:4'}","{'Tosefta Sanhedrin 2:5', 'Tosefta Sanhedrin 2:4', 'Tosefta Sanhedrin 2:3', 'Tosefta Sheviit (Lieberman) 4.16', 'Tosefta Sanhedrin 2:6'}","{('JTmock Peah 5:1:3-4', 'Sanhedrin 12a:12-13'), ('JTmock Peah 5:1:3-4', 'Sanhedrin 12a:9-10'), ('JTmock Peah 5:1:4', 'Sanhedrin 12a:11'), ('JTmock Peah 5:1:3-4', 'Sanhedrin 12a:5')}",False
"{'Nedarim 53b', 'JTmock Peah 5:1:4'}",{'Tosefta Sheviit (Lieberman) 4.16'},set(),True
"{'Kiddushin 32a', 'JTmock Peah 5:4:2'}",{'Tosefta Maaser Sheni (Lieberman) 4.7'},set(),True
"{'JTmock Peah 6:1:7', 'Nedarim 43b'}",{'Tosefta Maasrot (Lieberman) 3.11'},set(),True
"{'JTmock Peah 6:3:5', 'Sotah 45a'}",{'Deuteronomy 21:1'},set(),True
"{'JTmock Peah 6:3:7', 'Sotah 45b'}",{'Tosefta Peah (Lieberman) 3.3'},set(),True
"{'JTmock Peah 6:8:4', 'Ketubot 56b'}",{'Mishnah Bava Metzia 7.11'},set(),True
"{'JTmock Peah 7:3:7', 'Ketubot 112a'}",{'Psalms 107.34'},set(),True
"{'JTmock Peah 7:5:12', 'Sifrei Bamidbar 110'}",{'Tosefta Challah (Lieberman) 1.5'},set(),True
"{'JTmock Peah 7:5:12', 'Sanhedrin 112b'}","{'Sukkah 35a.12', 'Tosefta Challah (Lieberman) 1.5'}",set(),True
"{'Taanit 6b', 'JTmock Peah 8:1:3'}",{'Bava Metzia 21b.11'},set(),True
"{'Bava Metzia 21b', 'JTmock Peah 8:1:3'}",{'Taanit 6b:3'},set(),True
"{'JTmock Peah 8:4:4', 'Eruvin 29a'}",{'Tosefta Eruvin (Lieberman) 6.3'},set(),True
"{'JTmock Peah 8:5:3', 'Bava Batra 9a'}",{'Tosefta Peah (Lieberman) 4.8'},set(),True
"{'JTmock Peah 8:5:4', 'Ketubot 64b'}","{'Eruvin 82b:14', 'Eruvin 82b:15', 'Eruvin 82b:13'}",set(),True
"{'JTmock Peah 8:5:4', 'Eruvin 82b'}","{'Ketubot 64b:8', 'Ketubot 64b:7', 'Ketubot 64b:9'}",set(),True
"{'Kohelet Rabbah 2:8', 'JTmock Peah 8:6:5'}","{'Proverbs 8.16', 'Proverbs 8.15'}",set(),True
"{'Bava Batra 9a', 'JTmock Peah 8:6:8'}",{'Tosefta Peah (Lieberman) 4.8'},set(),True
"{'Ketubot 67b', 'JTmock Peah 8:7:4'}",{'Tosefta Peah (Lieberman) 4.10'},set(),True
"{'Pesachim 8a', 'JTmock Pesachim 1:1:2-4'}","{'Proverbs 20.27', 'Zephaniah 1.12'}","{('JTmock Pesachim 1:1:4', 'Pesachim 8a:1'), ('JTmock Pesachim 1:1:4-5', 'Pesachim 8a:1')}",False
"{'JTmock Pesachim 1:1:4', 'Pesachim 7b'}","{'Proverbs 20.27', 'Zephaniah 1.12'}","{('JTmock Pesachim 1:1:4-5', 'Pesachim 7b:15'), ('JTmock Pesachim 1:1:4', 'Pesachim 7b:15')}",False
"{'JTmock Pesachim 1:1:7', 'Sanhedrin 108b'}",{'Genesis 6:16'},set(),True
"{'Chullin 4a', 'JTmock Pesachim 1:1:15'}",{'Tosefta Pesachim (Lieberman) 2.3'},set(),True
"{'Sifrei Bamidbar 66', 'JTmock Pesachim 1:1:16'}",{'Tosefta Megillah (Lieberman) 3.5'},set(),True
"{'JTmock Pesachim 1:1:16', 'Megillah 4a'}",{'Megillah 32a.17'},set(),True
"{'Megillah 32a', 'JTmock Pesachim 1:1:16'}",{'Megillah 4a:6'},set(),True
"{'JTmock Pesachim 1:1:16', 'Pesachim 6a'}","{'Tosefta Megillah (Lieberman) 3.5', 'Avodah Zarah 5b:8', 'Sanhedrin 12b.13', 'Megillah 29b:5'}",set(),True
"{'JTmock Pesachim 1:1:16', 'Rosh Hashanah 7a'}","{'Megillah 29b:3', 'Sanhedrin 12b.13', 'Megillah 29b:2', 'Sanhedrin 12b:14'}","{('JTmock Pesachim 1:1:16', 'Rosh Hashanah 7a:14-15'), ('JTmock Pesachim 1:1:16', 'Rosh Hashanah 7a:17')}",False
"{'Megillah 29b', 'JTmock Pesachim 1:1:16'}","{'Avodah Zarah 5b:8', 'Tosefta Megillah (Lieberman) 3.5', 'Sanhedrin 12b.13', 'Rosh Hashanah 7a.17', 'Pesachim 6a.17'}","{('JTmock Pesachim 1:1:16', 'Megillah 29b:5'), ('JTmock Pesachim 1:1:16', 'Megillah 29b:2-3')}",False
"{'Sanhedrin 12b', 'JTmock Pesachim 1:1:16'}","{'Rosh Hashanah 7a:15', 'Avodah Zarah 5b:8', 'Tosefta Megillah (Lieberman) 3.5', 'Megillah 29b:5', 'Pesachim 6a.17', 'Rosh Hashanah 7a:14'}","{('JTmock Pesachim 1:1:16', 'Sanhedrin 12b:13'), ('JTmock Pesachim 1:1:16', 'Sanhedrin 12b:13-14')}",False
"{'Avodah Zarah 5b', 'JTmock Pesachim 1:1:16'}","{'Tosefta Megillah (Lieberman) 3.5', 'Megillah 29b:5', 'Sanhedrin 12b.13', 'Pesachim 6a.17'}",set(),True
"{'Bekhorot 58a', 'JTmock Pesachim 1:1:16'}",{'Tosefta Megillah (Lieberman) 3.5'},set(),True
"{'Pesachim 10b', 'JTmock Pesachim 1:3:2'}","{'Exodus 12.19', 'Mishnah Pesachim 1.3', 'Exodus 12.15', 'Exodus 13:7'}","{('JTmock Pesachim 1:3:2', 'Pesachim 10b:15'), ('JTmock Pesachim 1:3:2-4', 'Pesachim 10b:13-14')}",False
"{'JTmock Pesachim 1:3:2', 'Pesachim 6a'}","{'Tosefta Pesachim (Lieberman) 2.11', 'Exodus 12.19'}",set(),True
"{'Pesachim 4b', 'JTmock Pesachim 1:4:2'}",{'Exodus 12.15'},set(),True
"{'JTmock Pesachim 1:4:7', 'Pesachim 32a'}",{'Pesachim 29a:10'},set(),True
"{'JTmock Pesachim 1:4:7', 'Pesachim 29a'}",{'Pesachim 32a.8'},set(),True
"{'Pesachim 15b', 'JTmock Pesachim 1:6:3'}",{'Tosefta Pesachim (Lieberman) 1.6'},set(),True
"{'Shabbat 15b', 'JTmock Pesachim 1:6:3'}",{'Mishnah Tahorot 4.5'},set(),True
"{'Pesachim 20b', 'JTmock Pesachim 1:8:6'}",{'Mishnah Pesachim 1:7'},set(),True
"{'JTmock Pesachim 1:8:7', 'Pesachim 20b'}",{'Mishnah Pesachim 1:7'},set(),True
"{'JTmock Pesachim 1:8:9', 'Bekhorot 33b'}","{'Mishnah Terumot 8.8', 'Mishnah Bekhorot 5.2'}","{('JTmock Pesachim 1:8:9', 'Bekhorot 33b:5'), ('JTmock Pesachim 1:8:9', 'Bekhorot 33b:8-9')}",False
"{'JTmock Pesachim 2:1:4', 'Pesachim 21b'}","{'Deuteronomy 14.21', 'Exodus 22.30'}","{('JTmock Pesachim 2:1:4-5', 'Pesachim 21b:7'), ('JTmock Pesachim 2:1:4', 'Pesachim 21b:11')}",False
"{'JTmock Pesachim 2:1:7', 'Pesachim 22b'}",{'Exodus 21.28'},set(),True
"{'Pesachim 23b', 'JTmock Pesachim 2:1:9'}","{'Leviticus 6:23', 'Exodus 22.30'}","{('JTmock Pesachim 2:1:9', 'Pesachim 23b:11'), ('JTmock Pesachim 2:1:9', 'Pesachim 23b:12')}",False
"{'Pesachim 23a', 'JTmock Pesachim 2:1:9'}",{'Leviticus 7:24'},set(),True
"{'Sifrei Devarim 71', 'JTmock Pesachim 2:1:9'}",{'JTmock Pesachim 1.8.12'},set(),True
"{'Sifrei Devarim 104', 'JTmock Pesachim 2:1:9'}",{'Deuteronomy 14.21'},set(),True
"{'JTmock Pesachim 2:1:12', 'Pesachim 27b'}",{'Exodus 12.15'},set(),True
"{'JTmock Pesachim 2:1:13-14', 'Sukkah 36b'}",{'Leviticus 23.42'},set(),True
"{'JTmock Pesachim 2:2:11', 'Pesachim 6a'}",{'JTmock Pesachim 1:3:2'},set(),True
"{'JTmock Pesachim 2:2:12', 'Pesachim 28a'}","{'Mishnah Pesachim 2.2', 'Exodus 13:7'}",set(),True
"{'Sifrei Devarim 131', 'JTmock Pesachim 2:2:13'}",{'Pesachim 5b.3'},set(),True
"{'Pesachim 5b', 'JTmock Pesachim 2:2:13'}","{'Sifrei Devarim 131:2', 'Exodus 13:7'}","{('JTmock Pesachim 2:2:13-15', 'Pesachim 5b:2'), ('JTmock Pesachim 2:2:13', 'Pesachim 5b:3')}",False
"{'Pesachim 32a', 'JTmock Pesachim 2:3:2'}",{'Tosefta Pesachim (Lieberman) 1.10'},set(),True
"{'JTmock Pesachim 2:4:2', 'Sifrei Bamidbar'}","{'Numbers 15.20', 'Numbers 15:19'}",set(),True
"{'Menachot 70b', 'JTmock Pesachim 2:4:3'}","{'Deuteronomy 16.3', 'Pesachim 35a:6', 'Numbers 15:19'}","{('JTmock Pesachim 2:4:3', 'Menachot 70b:2'), ('JTmock Pesachim 2:4:3', 'Menachot 70a:17-70b:1'), ('JTmock Pesachim 2:4:3', 'Menachot 70b:3')}",False
"{'JTmock Pesachim 2:4:3', 'Pesachim 35a'}","{'Deuteronomy 16.3', 'Menachot 70b:1'}","{('JTmock Pesachim 2:4:3', 'Pesachim 35a:7'), ('JTmock Pesachim 2:4:3', 'Pesachim 35a:6')}",False
"{'Pesachim 35a', 'JTmock Pesachim 2:4:4'}",{'Tosefta Challah (Lieberman) 1.1'},set(),True
"{'JTmock Pesachim 2:4:5', 'Menachot 54a'}","{'JTmock Challah 1:1:5', 'Tosefta Terumot (Lieberman) 8.9', 'Mishnah Terumot 10.2'}",set(),True
"{'Pesachim 36a', 'JTmock Pesachim 2:4:8'}","{'Exodus 12:20', 'Pesachim 38b:5'}","{('JTmock Pesachim 2:4:8-9', 'Pesachim 36a:4'), ('JTmock Pesachim 2:4:8', 'Pesachim 36a:18')}",False
"{'JTmock Pesachim 2:4:8', 'Pesachim 36b'}","{'Exodus 12:20', 'Pesachim 38b:5'}","{('JTmock Pesachim 2:4:8', 'Pesachim 36b:2'), ('JTmock Pesachim 2:4:8-9', 'Pesachim 36b:7-8')}",False
"{'JTmock Pesachim 2:4:8-9', 'Pesachim 38b'}","{'Pesachim 36a.4', 'Pesachim 36b:8', 'Pesachim 36b:7'}",set(),True
"{'JTmock Pesachim 2:4:10', 'Pesachim 36a'}","{'Exodus 12:20', 'Pesachim 38b:5', 'Deuteronomy 16.3', 'Sifrei Devarim 130:3'}","{('JTmock Pesachim 2:4:10', 'Pesachim 36a:5'), ('JTmock Pesachim 2:4:10', 'Pesachim 36a:18'), ('JTmock Pesachim 2:4:10', 'Pesachim 36a:4')}",False
"{'JTmock Pesachim 2:4:10', 'Pesachim 38b'}","{'Exodus 12.17', 'Pesachim 36b:7', 'Deuteronomy 16.3', 'Pesachim 36a.4', 'Pesachim 36b:8'}","{('JTmock Pesachim 2:4:10', 'Pesachim 38b:1'), ('JTmock Pesachim 2:4:10', 'Pesachim 38b:5')}",False
"{'JTmock Pesachim 2:4:10', 'Pesachim 36b'}","{'Exodus 12:20', 'Pesachim 38b:5', 'Deuteronomy 16.3'}","{('JTmock Pesachim 2:4:10', 'Pesachim 36b:2'), ('JTmock Pesachim 2:4:10', 'Pesachim 36b:7-8'), ('JTmock Pesachim 2:4:10', 'Pesachim 36b:7')}",False
"{'JTmock Pesachim 2:4:10-11', 'Pesachim 37a'}",{'Tosefta Pesachim (Lieberman) 2.19'},set(),True
"{'Pesachim 39a', 'JTmock Pesachim 2:5:2'}","{'Exodus 1.14', 'Tosefta Pesachim (Lieberman) 2.21'}","{('JTmock Pesachim 2:5:2', 'Pesachim 39a:10'), ('JTmock Pesachim 2:5:2', 'Pesachim 39a:6')}",False
"{'Berakhot 38b', 'JTmock Pesachim 2:5:4'}",{'JTmock Berakhot 6:1:8'},set(),True
"{'JTmock Pesachim 2:6:2', 'Pesachim 37b'}","{'Tosefta Challah (Lieberman) 1.1', 'JTmock Challah 1:4:5', 'Tosefta Challah (Lieberman) 1.2'}","{('JTmock Pesachim 2:6:2', 'Pesachim 37b:3-4'), ('JTmock Pesachim 2:6:2', 'Pesachim 37b:3')}",False
"{'Pesachim 42b', 'JTmock Pesachim 3:1:5'}",{'JTmock Demai 1:1:14'},set(),True
"{'Pesachim 43a', 'JTmock Pesachim 3:1:11'}","{'Exodus 12:20', 'Exodus 12.15'}",set(),True
"{'JTmock Pesachim 3:1:11', 'Pesachim 41a'}",{'Tosefta Pesachim (Lieberman) 2.19'},set(),True
"{'JTmock Pesachim 3:1:11', 'Chullin 120a'}","{'Exodus 12.15', 'Deuteronomy 16.3'}","{('JTmock Pesachim 3:1:11', 'Chullin 120a:21'), ('JTmock Pesachim 3:1:11', 'Chullin 120a:20')}",False
"{'JTmock Pesachim 3:3:10', 'Shabbat 117b'}","{'Shabbat 124a:18', 'Beitzah 37a:14', 'Shabbat 124a:19', 'Beitzah 37a:10', 'Beitzah 37a:11', 'Beitzah 37a:12', 'Beitzah 37a:13', 'Shabbat 124a:17'}",set(),True
"{'JTmock Pesachim 3:3:10', 'Shabbat 124a'}","{'Shabbat 117b:5', 'Shabbat 117b:6', 'Beitzah 37a:9', 'Beitzah 37a:10'}","{('JTmock Pesachim 3:3:10', 'Shabbat 124a:15-16'), ('JTmock Pesachim 3:3:10', 'Shabbat 124a:17-19')}",False
